latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.900002,104.600006,161.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,31.3,21.0,25.9,34.8,22.3,28.2,2010-01-01T06:28,2010-01-01T17:41,0.00,0.00,0.00,0.0,15.3,27.7,52,17.41,3.90
2010-01-02,1,32.3,20.9,26.5,36.2,22.5,28.9,2010-01-02T06:29,2010-01-02T17:41,0.00,0.00,0.00,0.0,12.5,25.9,46,18.57,4.13
2010-01-03,1,30.9,21.8,26.0,33.5,23.0,27.4,2010-01-03T06:29,2010-01-03T17:42,0.00,0.00,0.00,0.0,16.8,36.4,44,16.45,4.39
2010-01-04,1,31.0,20.7,25.7,34.1,22.4,28.0,2010-01-04T06:29,2010-01-04T17:42,0.00,0.00,0.00,0.0,13.2,26.3,47,17.09,3.87
2010-01-05,1,31.8,21.8,27.0,34.6,24.2,29.5,2010-01-05T06:30,2010-01-05T17:43,0.00,0.00,0.00,0.0,10.2,27.4,140,16.03,3.83
2010-01-06,1,32.1,21.9,27.0,34.7,24.3,29.3,2010-01-06T06:30,2010-01-06T17:43,0.00,0.00,0.00,0.0,19.3,36.4,60,15.78,3.92
2010-01-07,2,30.8,22.1,26.0,33.5,22.9,27.4,2010-01-07T06:30,2010-01-07T17:44,0.00,0.00,0.00,0.0,18.2,35.3,52,15.73,4.13
2010-01-08,53,23.1,19.2,20.8,23.3,18.8,20.8,2010-01-08T06:30,2010-01-08T17:45,2.70,2.70,0.00,7.0,19.4,39.6,40,4.22,1.76
2010-01-09,1,29.1,17.7,22.9,31.9,17.6,24.2,2010-01-09T06:31,2010-01-09T17:45,0.00,0.00,0.00,0.0,14.3,27.4,22,18.17,3.80
2010-01-10,1,31.2,18.3,24.6,34.4,19.9,26.6,2010-01-10T06:31,2010-01-10T17:46,0.00,0.00,0.00,0.0,7.1,16.6,6,19.53,3.96
2010-01-11,1,31.9,19.5,25.4,33.8,20.4,26.5,2010-01-11T06:31,2010-01-11T17:46,0.00,0.00,0.00,0.0,18.9,38.2,42,19.64,4.55
2010-01-12,1,28.2,16.9,22.1,27.0,14.0,20.4,2010-01-12T06:31,2010-01-12T17:47,0.00,0.00,0.00,0.0,24.7,50.8,53,19.22,5.25
2010-01-13,1,27.2,15.9,20.1,26.6,13.1,17.8,2010-01-13T06:31,2010-01-13T17:48,0.00,0.00,0.00,0.0,25.0,46.8,49,19.11,4.93
2010-01-14,1,27.8,15.9,20.8,27.1,13.3,19.1,2010-01-14T06:32,2010-01-14T17:48,0.00,0.00,0.00,0.0,24.2,46.4,48,19.71,4.92
