latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.599998,100.5,10.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,32.3,23.5,28.2,36.4,28.0,32.4,2010-01-01T06:43,2010-01-01T18:00,0.20,0.20,0.00,1.0,7.1,22.0,163,15.71,3.59
2010-01-02,2,33.4,23.3,28.4,36.1,28.0,32.0,2010-01-02T06:43,2010-01-02T18:00,0.00,0.00,0.00,0.0,9.3,22.3,175,16.96,4.11
2010-01-03,1,33.6,22.3,28.4,37.2,26.5,31.9,2010-01-03T06:43,2010-01-03T18:01,0.00,0.00,0.00,0.0,6.7,20.5,33,17.81,4.09
2010-01-04,1,33.2,23.4,28.6,36.8,27.5,32.1,2010-01-04T06:44,2010-01-04T18:01,0.00,0.00,0.00,0.0,12.6,23.4,179,16.59,4.08
2010-01-05,1,33.2,25.2,28.7,38.1,30.3,33.2,2010-01-05T06:44,2010-01-05T18:02,0.00,0.00,0.00,0.0,11.4,27.4,174,16.57,3.85
2010-01-06,63,31.0,24.2,27.2,36.2,29.1,32.2,2010-01-06T06:44,2010-01-06T18:02,12.90,12.90,0.00,9.0,8.9,31.0,166,12.09,2.70
2010-01-07,53,30.5,23.8,26.7,35.5,28.9,31.6,2010-01-07T06:45,2010-01-07T18:03,2.40,2.40,0.00,11.0,6.3,27.7,37,13.58,2.89
2010-01-08,53,28.2,23.1,25.0,30.3,26.1,28.0,2010-01-08T06:45,2010-01-08T18:03,2.40,2.40,0.00,6.0,13.8,32.0,28,8.38,2.15
2010-01-09,3,30.3,21.0,25.4,34.2,23.5,28.3,2010-01-09T06:45,2010-01-09T18:04,0.00,0.00,0.00,0.0,9.0,22.7,9,17.37,3.76
2010-01-10,1,31.6,21.4,26.4,35.4,24.9,30.0,2010-01-10T06:45,2010-01-10T18:05,0.00,0.00,0.00,0.0,7.6,16.9,344,18.05,3.88
2010-01-11,1,32.8,22.7,27.1,36.5,26.7,30.6,2010-01-11T06:46,2010-01-11T18:05,0.00,0.00,0.00,0.0,7.4,15.1,160,18.39,3.95
2010-01-12,3,32.2,20.7,26.6,35.1,24.0,29.7,2010-01-12T06:46,2010-01-12T18:06,0.00,0.00,0.00,0.0,7.3,24.1,148,16.93,3.82
2010-01-13,2,31.3,22.1,26.5,34.2,22.3,28.0,2010-01-13T06:46,2010-01-13T18:06,0.00,0.00,0.00,0.0,11.0,24.8,57,18.90,4.58
2010-01-14,3,29.8,21.6,25.8,32.1,21.3,26.5,2010-01-14T06:46,2010-01-14T18:07,0.00,0.00,0.00,0.0,13.4,29.5,45,17.40,4.54
2010-01-15,1,31.4,21.2,26.1,33.7,21.6,27.2,2010-01-15T06:46,2010-01-15T18:08,0.00,0.00,0.00,0.0,9.7,24.5,33,19.63,4.88
2010-01-16,2,31.6,22.1,26.4,31.9,22.7,26.7,2010-01-16T06:46,2010-01-16T18:08,0.00,0.00,0.00,0.0,18.9,42.1,44,18.43,5.43
2010-01-17,1,30.7,21.2,25.7,31.2,20.5,25.4,2010-01-17T06:47,2010-01-17T18:09,0.00,0.00,0.00,0.0,17.1,38.5,45,20.25,5.72
2010-01-18,1,29.6,19.8,24.6,30.3,18.5,24.1,2010-01-18T06:47,2010-01-18T18:09,0.00,0.00,0.00,0.0,17.4,37.8,39,20.68,5.55
2010-01-19,1,30.5,19.6,25.0,31.0,19.0,25.0,2010-01-19T06:47,2010-01-19T18:10,0.00,0.00,0.00,0.0,15.4,34.2,25,20.55,5.16
2010-01-20,3,29.2,22.8,25.6,30.0,22.9,26.3,2010-01-20T06:47,2010-01-20T18:10,0.00,0.00,0.00,0.0,14.8,32.8,11,9.61,3.39
2010-01-21,53,26.9,23.5,25.1,29.0,25.9,27.4,2010-01-21T06:47,2010-01-21T18:11,1.20,1.20,0.00,3.0,14.5,35.6,33,7.32,2.34
