latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.400002,100.600006,8.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,32.6,23.4,28.1,36.5,28.1,32.4,2010-01-01T06:42,2010-01-01T17:59,0.10,0.10,0.00,1.0,6.7,22.7,168,15.66,3.55
2010-01-02,2,33.4,23.1,28.2,36.1,27.9,31.9,2010-01-02T06:42,2010-01-02T18:00,0.00,0.00,0.00,0.0,9.2,22.7,173,17.15,4.11
2010-01-03,0,33.8,22.3,28.4,37.6,26.6,32.2,2010-01-03T06:43,2010-01-03T18:01,0.00,0.00,0.00,0.0,5.9,20.2,89,18.50,4.10
2010-01-04,2,33.1,23.1,28.3,36.4,27.5,32.0,2010-01-04T06:43,2010-01-04T18:01,0.00,0.00,0.00,0.0,12.2,24.5,179,16.57,4.02
2010-01-05,2,33.4,25.2,28.7,37.9,30.4,33.2,2010-01-05T06:43,2010-01-05T18:02,0.00,0.00,0.00,0.0,10.8,26.6,174,16.95,3.96
2010-01-06,63,31.6,24.2,27.2,36.6,28.9,32.3,2010-01-06T06:43,2010-01-06T18:02,13.10,13.10,0.00,10.0,9.4,29.2,164,12.40,2.75
2010-01-07,53,30.8,23.8,26.9,36.0,28.9,31.9,2010-01-07T06:44,2010-01-07T18:03,1.50,1.50,0.00,5.0,4.9,27.4,65,13.93,2.92
2010-01-08,53,28.8,23.4,25.3,31.5,26.7,28.9,2010-01-08T06:44,2010-01-08T18:03,1.90,1.90,0.00,8.0,10.9,27.0,27,10.12,2.36
2010-01-09,3,30.5,20.7,25.5,34.8,23.8,28.8,2010-01-09T06:44,2010-01-09T18:04,0.00,0.00,0.00,0.0,8.6,23.0,2,17.41,3.64
2010-01-10,1,31.9,21.4,26.5,35.7,24.8,30.2,2010-01-10T06:44,2010-01-10T18:05,0.00,0.00,0.00,0.0,5.8,16.9,337,18.03,3.73
2010-01-11,1,32.8,22.1,27.2,36.2,25.8,30.6,2010-01-11T06:45,2010-01-11T18:05,0.00,0.00,0.00,0.0,7.4,15.1,174,18.01,3.90
2010-01-12,3,32.1,20.8,26.6,35.1,24.3,29.9,2010-01-12T06:45,2010-01-12T18:06,0.00,0.00,0.00,0.0,7.6,22.0,155,16.65,3.77
2010-01-13,1,31.8,21.7,26.5,34.5,23.2,28.6,2010-01-13T06:45,2010-01-13T18:06,0.00,0.00,0.00,0.0,8.0,25.2,87,18.76,4.28
2010-01-14,3,30.5,21.5,25.9,33.1,22.3,27.4,2010-01-14T06:45,2010-01-14T18:07,0.00,0.00,0.00,0.0,8.2,22.3,51,17.49,4.14
2010-01-15,2,31.6,21.1,26.3,34.2,21.9,27.7,2010-01-15T06:45,2010-01-15T18:07,0.00,0.00,0.00,0.0,7.3,20.2,34,19.36,4.53
2010-01-16,3,31.8,21.9,26.4,32.7,22.7,27.0,2010-01-16T06:46,2010-01-16T18:08,0.00,0.00,0.00,0.0,15.3,35.3,38,18.82,5.25
