latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.0,103.100006,161.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,32.4,22.1,27.0,35.3,24.1,29.3,2010-01-01T06:33,2010-01-01T17:48,0.00,0.00,0.00,0.0,11.6,29.2,92,18.64,4.34
2010-01-02,1,32.7,20.5,26.7,35.5,22.8,29.1,2010-01-02T06:33,2010-01-02T17:49,0.00,0.00,0.00,0.0,10.0,26.6,122,18.84,4.36
2010-01-03,1,31.8,21.7,26.9,34.6,23.8,29.1,2010-01-03T06:34,2010-01-03T17:49,0.00,0.00,0.00,0.0,10.4,27.7,56,17.55,4.22
2010-01-04,1,31.8,21.4,26.7,35.1,23.7,29.4,2010-01-04T06:34,2010-01-04T17:50,0.00,0.00,0.00,0.0,9.5,23.8,87,18.08,4.09
2010-01-05,51,32.3,22.1,27.4,36.3,25.2,30.7,2010-01-05T06:34,2010-01-05T17:50,0.30,0.30,0.00,2.0,6.4,18.7,151,16.82,3.71
2010-01-06,51,32.5,22.9,27.8,34.6,26.5,30.6,2010-01-06T06:35,2010-01-06T17:51,0.10,0.10,0.00,1.0,12.8,28.1,124,14.96,3.71
2010-01-07,51,31.0,22.9,26.8,33.9,24.5,29.5,2010-01-07T06:35,2010-01-07T17:52,0.50,0.50,0.00,3.0,14.5,27.4,47,14.67,3.47
2010-01-08,63,24.9,19.8,21.6,26.9,21.6,23.8,2010-01-08T06:35,2010-01-08T17:52,15.30,15.30,0.00,15.0,12.7,24.5,25,4.49,1.13
2010-01-09,3,28.7,18.1,23.3,31.3,19.0,25.3,2010-01-09T06:35,2010-01-09T17:53,0.00,0.00,0.00,0.0,9.8,24.5,35,17.73,3.51
2010-01-10,1,30.7,18.4,25.1,34.8,20.7,27.9,2010-01-10T06:35,2010-01-10T17:53,0.00,0.00,0.00,0.0,6.5,15.8,32,20.06,4.04
2010-01-11,2,31.6,20.8,26.2,34.2,23.0,28.0,2010-01-11T06:36,2010-01-11T17:54,0.00,0.00,0.00,0.0,8.0,17.3,73,19.41,4.27
2010-01-12,1,30.4,19.7,24.5,31.3,19.1,24.6,2010-01-12T06:36,2010-01-12T17:54,0.00,0.00,0.00,0.0,19.0,40.7,69,19.07,4.97
2010-01-13,2,27.2,16.7,22.0,27.9,15.4,21.5,2010-01-13T06:36,2010-01-13T17:55,0.00,0.00,0.00,0.0,20.1,38.5,54,18.86,4.53
2010-01-14,1,27.5,16.7,21.8,28.1,15.1,21.2,2010-01-14T06:36,2010-01-14T17:56,0.00,0.00,0.00,0.0,18.8,37.8,52,19.90,4.58
2010-01-15,1,28.5,17.4,22.8,29.9,17.3,23.3,2010-01-15T06:36,2010-01-15T17:56,0.00,0.00,0.00,0.0,10.7,24.8,36,19.27,4.28
2010-01-16,3,29.0,19.1,23.6,28.1,19.0,23.1,2010-01-16T06:37,2010-01-16T17:57,0.00,0.00,0.00,0.0,24.3,49.3,46,16.74,4.74
2010-01-17,1,28.4,17.7,22.5,28.1,16.9,21.6,2010-01-17T06:37,2010-01-17T17:57,0.00,0.00,0.00,0.0,19.6,40.7,46,19.76,5.12
2010-01-18,2,27.5,16.8,21.9,28.0,15.9,21.5,2010-01-18T06:37,2010-01-18T17:58,0.00,0.00,0.00,0.0,17.1,37.4,38,20.23,4.61
2010-01-19,3,28.7,17.1,23.0,29.7,17.1,23.4,2010-01-19T06:37,2010-01-19T17:59,0.00,0.00,0.00,0.0,13.6,29.2,35,18.17,4.16
2010-01-20,63,25.9,19.9,22.9,27.3,21.5,24.4,2010-01-20T06:37,2010-01-20T17:59,12.40,12.40,0.00,14.0,15.2,31.3,15,9.08,2.25
2010-01-21,61,23.3,20.9,22.1,27.1,23.1,25.0,2010-01-21T06:37,2010-01-21T18:00,17.50,17.50,0.00,15.0,14.8,31.0,77,2.10,0.61
2010-01-22,55,29.1,21.9,24.6,32.5,25.6,28.5,2010-01-22T06:37,2010-01-22T18:00,6.00,6.00,0.00,14.0,11.5,33.8,163,11.06,2.42
2010-01-23,51,29.9,21.0,25.2,34.5,24.6,29.2,2010-01-23T06:37,2010-01-23T18:01,0.90,0.90,0.00,4.0,7.8,21.2,39,15.75,3.26
2010-01-24,3,27.9,20.2,24.3,31.1,20.9,26.5,2010-01-24T06:37,2010-01-24T18:01,0.00,0.00,0.00,0.0,11.8,24.1,38,14.87,3.34
2010-01-25,2,30.2,21.0,25.2,32.8,22.7,27.1,2010-01-25T06:37,2010-01-25T18:02,0.00,0.00,0.00,0.0,18.8,37.4,38,18.22,4.31
2010-01-26,3,29.2,20.2,24.5,31.2,20.3,25.6,2010-01-26T06:37,2010-01-26T18:02,0.00,0.00,0.00,0.0,18.3,36.4,49,16.09,4.00
2010-01-27,3,29.8,19.2,24.4,32.9,19.9,26.1,2010-01-27T06:37,2010-01-27T18:03,0.00,0.00,0.00,0.0,13.8,26.3,45,20.19,4.47
2010-01-28,1,31.4,20.5,25.9,34.8,22.4,28.2,2010-01-28T06:37,2010-01-28T18:03,0.00,0.00,0.00,0.0,10.3,25.6,40,20.80,4.60
