latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.200005,100.100006,23.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,31.7,24.5,28.1,36.1,29.6,32.6,2010-01-01T06:45,2010-01-01T18:00,0.10,0.10,0.00,1.0,7.3,24.1,166,14.78,3.32
2010-01-02,1,32.5,23.8,28.2,36.5,28.2,32.1,2010-01-02T06:46,2010-01-02T18:00,0.00,0.00,0.00,0.0,6.9,20.5,171,16.84,3.85
2010-01-03,1,32.6,23.1,28.1,36.8,27.0,32.0,2010-01-03T06:46,2010-01-03T18:01,0.00,0.00,0.00,0.0,6.8,15.5,92,16.51,3.63
2010-01-04,2,32.4,23.4,28.0,36.7,27.6,31.9,2010-01-04T06:46,2010-01-04T18:01,0.00,0.00,0.00,0.0,7.8,19.4,213,15.81,3.64
2010-01-05,51,32.5,24.6,28.2,38.1,29.4,32.7,2010-01-05T06:46,2010-01-05T18:02,0.30,0.30,0.00,2.0,9.9,24.8,175,16.80,3.76
2010-01-06,63,30.1,24.3,26.8,35.3,29.1,31.7,2010-01-06T06:47,2010-01-06T18:03,11.50,11.50,0.00,8.0,8.8,30.6,158,12.36,2.67
2010-01-07,53,28.8,23.4,26.0,33.3,28.0,30.8,2010-01-07T06:47,2010-01-07T18:03,2.70,2.70,0.00,9.0,6.4,25.6,44,10.66,2.28
2010-01-08,53,24.9,22.1,23.9,29.4,25.9,28.1,2010-01-08T06:47,2010-01-08T18:04,5.90,5.90,0.00,16.0,8.6,19.8,39,5.04,1.12
2010-01-09,3,29.3,20.1,24.4,33.5,23.2,27.8,2010-01-09T06:48,2010-01-09T18:04,0.00,0.00,0.00,0.0,6.2,18.7,32,13.90,2.89
2010-01-10,2,30.7,21.3,26.1,35.4,25.3,30.2,2010-01-10T06:48,2010-01-10T18:05,0.00,0.00,0.00,0.0,5.2,13.7,330,17.88,3.59
2010-01-11,1,32.1,21.8,26.4,35.6,25.4,30.2,2010-01-11T06:48,2010-01-11T18:05,0.00,0.00,0.00,0.0,7.9,18.4,164,18.63,3.99
2010-01-12,2,31.1,21.1,26.5,33.9,24.3,29.8,2010-01-12T06:48,2010-01-12T18:06,0.00,0.00,0.00,0.0,9.1,24.8,148,16.92,3.65
2010-01-13,2,29.5,21.6,25.3,31.8,21.2,26.5,2010-01-13T06:48,2010-01-13T18:07,0.00,0.00,0.00,0.0,13.3,28.1,82,18.46,4.37
2010-01-14,1,28.4,21.3,24.5,29.7,20.4,25.5,2010-01-14T06:48,2010-01-14T18:07,0.00,0.00,0.00,0.0,12.6,28.1,62,18.60,4.17
2010-01-15,1,30.2,18.6,24.6,32.5,20.4,26.3,2010-01-15T06:49,2010-01-15T18:08,0.00,0.00,0.00,0.0,8.9,22.7,20,19.93,4.31
2010-01-16,3,30.3,20.4,25.4,31.0,23.0,27.0,2010-01-16T06:49,2010-01-16T18:08,0.00,0.00,0.00,0.0,16.4,34.9,43,15.66,3.94
2010-01-17,2,29.5,21.3,25.2,30.6,21.5,25.9,2010-01-17T06:49,2010-01-17T18:09,0.00,0.00,0.00,0.0,13.5,30.6,50,19.71,4.73
2010-01-18,1,28.5,19.5,23.9,29.3,19.6,24.2,2010-01-18T06:49,2010-01-18T18:10,0.00,0.00,0.00,0.0,12.1,28.8,37,20.30,4.64
2010-01-19,2,29.6,17.7,23.8,30.2,18.9,24.4,2010-01-19T06:49,2010-01-19T18:10,0.00,0.00,0.00,0.0,11.6,28.4,8,20.45,4.62
2010-01-20,2,29.4,21.0,25.0,30.2,21.7,25.9,2010-01-20T06:49,2010-01-20T18:11,0.00,0.00,0.00,0.0,11.2,23.8,7,13.43,3.62
2010-01-21,51,28.8,22.4,25.1,31.9,24.9,28.1,2010-01-21T06:49,2010-01-21T18:11,0.20,0.20,0.00,1.0,8.9,20.2,63,8.63,2.08
2010-01-22,51,28.5,23.2,25.4,32.3,27.7,29.8,2010-01-22T06:49,2010-01-22T18:12,0.50,0.50,0.00,2.0,9.7,23.0,49,11.02,2.37
2010-01-23,61,30.5,22.9,25.7,35.7,27.5,30.5,2010-01-23T06:49,2010-01-23T18:12,6.10,6.10,0.00,12.0,5.4,22.3,97,12.59,2.63
2010-01-24,51,30.8,23.2,26.2,36.0,27.2,30.8,2010-01-24T06:49,2010-01-24T18:13,2.30,2.30,0.00,13.0,9.0,22.3,98,15.78,3.34
2010-01-25,1,31.3,22.6,27.0,35.1,27.1,31.1,2010-01-25T06:49,2010-01-25T18:13,0.00,0.00,0.00,0.0,6.9,22.7,47,17.67,3.86
2010-01-26,3,30.9,23.7,26.9,33.5,24.1,29.3,2010-01-26T06:49,2010-01-26T18:14,0.00,0.00,0.00,0.0,15.3,31.7,64,17.43,4.18
2010-01-27,3,31.5,24.4,27.7,36.0,27.2,30.8,2010-01-27T06:49,2010-01-27T18:14,0.00,0.00,0.00,0.0,6.6,22.0,47,17.87,4.05
2010-01-28,0,32.1,22.7,27.7,37.0,26.1,31.4,2010-01-28T06:49,2010-01-28T18:15,0.00,0.00,0.00,0.0,6.1,18.4,14,18.44,3.96
2010-01-29,1,32.4,23.9,28.0,37.2,28.1,32.4,2010-01-29T06:49,2010-01-29T18:15,0.00,0.00,0.00,0.0,7.6,16.2,128,17.83,3.85
2010-01-30,51,32.4,24.0,28.1,38.2,28.4,32.5,2010-01-30T06:48,2010-01-30T18:16,0.20,0.20,0.00,1.0,6.9,19.4,185,17.99,3.95
2010-01-31,51,32.9,24.5,28.5,38.1,28.9,33.0,2010-01-31T06:48,2010-01-31T18:16,0.20,0.20,0.00,1.0,8.8,22.3,166,18.55,4.04
2010-02-01,1,33.5,23.6,28.7,38.9,28.2,33.3,2010-02-01T06:48,2010-02-01T18:17,0.00,0.00,0.00,0.0,5.7,16.6,184,19.17,4.11
2010-02-02,51,33.2,24.8,28.8,38.2,29.2,33.4,2010-02-02T06:48,2010-02-02T18:17,0.50,0.50,0.00,3.0,8.9,23.0,177,17.99,4.05
2010-02-03,51,33.4,24.8,28.9,39.2,29.5,33.9,2010-02-03T06:48,2010-02-03T18:18,0.20,0.20,0.00,2.0,7.2,20.9,181,18.73,4.14
2010-02-04,51,33.3,24.4,28.9,38.5,28.4,33.2,2010-02-04T06:47,2010-02-04T18:18,0.20,0.20,0.00,1.0,9.5,20.2,192,18.88,4.30
2010-02-05,53,34.0,25.2,28.9,39.5,29.1,33.4,2010-02-05T06:47,2010-02-05T18:19,1.80,1.80,0.00,5.0,10.5,24.8,183,19.61,4.51
2010-02-06,61,34.1,25.2,29.0,38.8,29.5,33.2,2010-02-06T06:47,2010-02-06T18:19,1.40,1.40,0.00,1.0,13.4,28.4,177,19.00,4.54
2010-02-07,51,33.6,25.3,29.2,39.0,28.9,33.2,2010-02-07T06:47,2010-02-07T18:20,0.10,0.10,0.00,1.0,9.8,26.3,176,19.61,4.70
2010-02-08,51,34.1,24.3,29.1,37.9,28.1,32.8,2010-02-08T06:46,2010-02-08T18:20,0.10,0.10,0.00,1.0,10.8,22.3,185,19.78,4.75
2010-02-09,1,33.8,24.3,29.2,38.3,28.0,32.6,2010-02-09T06:46,2010-02-09T18:20,0.00,0.00,0.00,0.0,11.9,24.5,178,20.47,4.96
2010-02-10,1,34.9,24.0,29.6,38.8,27.5,32.6,2010-02-10T06:46,2010-02-10T18:21,0.00,0.00,0.00,0.0,11.9,23.4,180,21.77,5.46
2010-02-11,0,35.1,24.3,29.7,40.2,28.1,33.2,2010-02-11T06:45,2010-02-11T18:21,0.00,0.00,0.00,0.0,11.8,23.0,179,21.93,5.18
2010-02-12,1,35.0,24.4,29.9,39.9,27.9,33.6,2010-02-12T06:45,2010-02-12T18:22,0.00,0.00,0.00,0.0,10.1,20.9,168,20.53,4.93
2010-02-13,1,34.3,25.0,29.8,38.2,28.8,33.3,2010-02-13T06:44,2010-02-13T18:22,0.00,0.00,0.00,0.0,12.3,24.1,180,19.18,5.01
2010-02-14,1,35.1,24.9,29.8,38.7,28.9,33.0,2010-02-14T06:44,2010-02-14T18:22,0.00,0.00,0.00,0.0,15.0,28.8,176,20.47,5.35
2010-02-15,1,35.1,24.9,29.9,39.7,29.1,33.5,2010-02-15T06:44,2010-02-15T18:23,0.00,0.00,0.00,0.0,12.4,24.8,172,21.66,5.37
2010-02-16,1,34.9,25.0,30.0,38.8,29.2,33.4,2010-02-16T06:43,2010-02-16T18:23,0.00,0.00,0.00,0.0,12.7,27.4,174,20.15,5.35
2010-02-17,1,34.6,25.5,29.8,38.4,29.3,33.1,2010-02-17T06:43,2010-02-17T18:23,0.00,0.00,0.00,0.0,12.7,26.3,164,19.92,5.36
2010-02-18,1,33.6,25.1,29.2,37.7,28.9,32.7,2010-02-18T06:42,2010-02-18T18:24,0.00,0.00,0.00,0.0,12.6,31.0,159,20.19,5.10
2010-02-19,51,33.5,24.4,28.4,37.5,27.2,31.8,2010-02-19T06:42,2010-02-19T18:24,1.10,1.10,0.00,6.0,13.9,33.1,143,20.34,4.92
2010-02-20,51,33.7,24.7,28.6,39.0,26.7,32.4,2010-02-20T06:41,2010-02-20T18:24,0.40,0.40,0.00,2.0,14.8,28.4,146,20.05,4.84
2010-02-21,3,34.8,24.5,29.3,38.1,29.3,32.6,2010-02-21T06:41,2010-02-21T18:25,0.00,0.00,0.00,0.0,15.0,28.4,176,21.92,5.24
2010-02-22,3,34.4,23.9,29.0,38.3,28.9,32.4,2010-02-22T06:40,2010-02-22T18:25,0.00,0.00,0.00,0.0,13.4,27.7,174,23.01,5.32
2010-02-23,2,33.8,24.2,29.0,37.5,28.5,32.0,2010-02-23T06:40,2010-02-23T18:25,0.00,0.00,0.00,0.0,15.8,30.6,180,19.31,5.32
2010-02-24,1,34.7,24.2,29.5,36.6,28.4,32.0,2010-02-24T06:39,2010-02-24T18:25,0.00,0.00,0.00,0.0,14.5,32.4,202,21.49,5.77
2010-02-25,0,34.8,22.1,29.1,36.7,24.8,30.8,2010-02-25T06:39,2010-02-25T18:26,0.00,0.00,0.00,0.0,7.3,19.4,232,24.12,5.32
2010-02-26,1,35.1,21.7,28.6,39.6,23.1,31.4,2010-02-26T06:38,2010-02-26T18:26,0.00,0.00,0.00,0.0,7.1,17.6,217,23.76,5.17
2010-02-27,0,36.0,23.1,29.5,39.5,25.0,31.7,2010-02-27T06:37,2010-02-27T18:26,0.00,0.00,0.00,0.0,14.8,27.0,172,23.67,6.25
2010-02-28,3,36.5,25.9,30.4,39.6,29.4,33.8,2010-02-28T06:37,2010-02-28T18:26,0.00,0.00,0.00,0.0,18.4,33.8,180,21.88,6.08
2010-03-01,1,35.7,25.6,30.1,40.4,30.2,34.0,2010-03-01T06:36,2010-03-01T18:27,0.00,0.00,0.00,0.0,15.9,28.8,178,22.95,5.85
2010-03-02,0,36.8,25.5,30.7,40.1,29.7,34.0,2010-03-02T06:36,2010-03-02T18:27,0.00,0.00,0.00,0.0,15.9,28.1,182,23.72,6.15
2010-03-03,3,37.4,24.1,30.4,39.4,29.2,33.3,2010-03-03T06:35,2010-03-03T18:27,0.00,0.00,0.00,0.0,16.6,25.9,186,24.93,6.44
2010-03-04,3,36.9,23.7,30.0,38.5,28.4,32.3,2010-03-04T06:34,2010-03-04T18:27,0.00,0.00,0.00,0.0,14.2,25.6,183,24.77,6.45
2010-03-05,1,36.5,23.1,29.7,39.2,27.6,32.1,2010-03-05T06:34,2010-03-05T18:27,0.00,0.00,0.00,0.0,13.1,24.8,189,24.99,6.09
2010-03-06,1,36.5,23.3,30.2,40.9,25.8,32.3,2010-03-06T06:33,2010-03-06T18:28,0.00,0.00,0.00,0.0,9.5,19.4,181,24.69,5.84
2010-03-07,0,37.3,24.8,31.1,42.4,27.5,33.7,2010-03-07T06:32,2010-03-07T18:28,0.00,0.00,0.00,0.0,15.3,24.1,179,24.47,6.35
2010-03-08,0,37.3,25.7,31.2,42.4,29.2,34.2,2010-03-08T06:32,2010-03-08T18:28,0.00,0.00,0.00,0.0,17.6,33.5,173,22.81,6.74
2010-03-09,2,36.5,25.8,31.1,41.7,28.7,34.1,2010-03-09T06:31,2010-03-09T18:28,0.00,0.00,0.00,0.0,14.4,26.6,171,21.82,6.24
2010-03-10,3,29.4,22.4,26.5,31.1,20.8,25.8,2010-03-10T06:30,2010-03-10T18:28,0.00,0.00,0.00,0.0,23.8,45.4,90,14.15,5.09
2010-03-11,3,32.7,23.5,27.7,35.1,22.9,28.6,2010-03-11T06:30,2010-03-11T18:29,0.00,0.00,0.00,0.0,11.0,25.6,83,22.96,5.75
2010-03-12,1,36.1,22.9,29.6,40.0,24.6,31.9,2010-03-12T06:29,2010-03-12T18:29,0.00,0.00,0.00,0.0,12.8,22.7,164,24.77,6.22
2010-03-13,1,37.2,25.8,31.6,41.1,27.9,33.7,2010-03-13T06:28,2010-03-13T18:29,0.00,0.00,0.00,0.0,16.6,29.5,181,24.65,7.12
2010-03-14,0,37.7,25.5,31.4,40.2,29.1,33.4,2010-03-14T06:28,2010-03-14T18:29,0.00,0.00,0.00,0.0,16.2,32.0,178,25.26,7.45
2010-03-15,2,37.4,25.2,31.3,41.8,29.3,34.5,2010-03-15T06:27,2010-03-15T18:29,0.00,0.00,0.00,0.0,14.8,29.2,173,25.03,6.31
2010-03-16,51,36.9,25.6,31.4,41.3,28.5,34.5,2010-03-16T06:26,2010-03-16T18:29,0.30,0.30,0.00,1.0,11.3,25.9,169,22.99,5.98
2010-03-17,51,34.7,26.9,30.5,38.7,30.4,34.1,2010-03-17T06:26,2010-03-17T18:29,0.10,0.10,0.00,1.0,13.1,33.1,126,19.62,5.09
2010-03-18,1,35.8,25.8,30.7,38.5,30.4,33.8,2010-03-18T06:25,2010-03-18T18:30,0.00,0.00,0.00,0.0,15.3,34.6,80,23.44,6.08
2010-03-19,1,36.2,25.6,30.9,41.1,27.4,33.1,2010-03-19T06:24,2010-03-19T18:30,0.00,0.00,0.00,0.0,9.2,20.2,116,25.38,6.14
2010-03-20,1,36.4,25.8,31.2,41.5,29.2,34.4,2010-03-20T06:23,2010-03-20T18:30,0.00,0.00,0.00,0.0,10.9,22.7,192,22.05,5.59
2010-03-21,51,36.9,26.8,31.5,42.4,30.8,35.6,2010-03-21T06:23,2010-03-21T18:30,0.50,0.50,0.00,3.0,12.3,21.6,171,23.00,5.78
2010-03-22,51,37.3,27.1,31.8,41.5,31.1,34.9,2010-03-22T06:22,2010-03-22T18:30,0.10,0.10,0.00,1.0,16.4,31.0,175,23.61,6.75
2010-03-23,2,37.1,26.9,31.7,41.4,30.8,35.0,2010-03-23T06:21,2010-03-23T18:30,0.00,0.00,0.00,0.0,16.6,29.2,179,22.97,6.58
2010-03-24,1,37.7,26.8,32.0,42.1,30.6,35.2,2010-03-24T06:20,2010-03-24T18:30,0.00,0.00,0.00,0.0,16.6,29.9,175,23.61,6.30
2010-03-25,1,38.3,26.7,32.5,43.6,30.5,36.3,2010-03-25T06:20,2010-03-25T18:30,0.00,0.00,0.00,0.0,11.3,19.8,176,24.05,6.29
2010-03-26,1,30.8,24.6,27.8,34.2,22.3,28.1,2010-03-26T06:19,2010-03-26T18:31,0.00,0.00,0.00,0.0,24.5,45.4,100,18.43,5.91
2010-03-27,3,33.8,23.4,28.3,37.4,24.7,29.9,2010-03-27T06:18,2010-03-27T18:31,0.00,0.00,0.00,0.0,10.8,26.3,100,21.62,5.63
2010-03-28,1,35.3,24.7,30.0,38.8,27.3,32.3,2010-03-28T06:18,2010-03-28T18:31,0.00,0.00,0.00,0.0,12.4,31.7,82,23.49,5.91
2010-03-29,1,36.2,26.2,30.7,40.5,28.8,33.4,2010-03-29T06:17,2010-03-29T18:31,0.00,0.00,0.00,0.0,11.9,25.9,70,20.64,5.46
2010-03-30,53,36.2,24.4,30.3,42.0,29.1,34.6,2010-03-30T06:16,2010-03-30T18:31,1.60,1.60,0.00,4.0,13.0,25.6,200,23.82,5.64
2010-03-31,1,36.8,26.8,31.4,41.5,31.3,35.2,2010-03-31T06:15,2010-03-31T18:31,0.00,0.00,0.00,0.0,16.6,33.8,186,22.49,5.91
2010-04-01,1,37.4,26.5,31.8,42.7,30.9,35.9,2010-04-01T06:15,2010-04-01T18:31,0.00,0.00,0.00,0.0,15.1,27.0,174,24.30,6.14
2010-04-02,1,37.4,27.1,32.5,42.3,31.6,36.3,2010-04-02T06:14,2010-04-02T18:32,0.00,0.00,0.00,0.0,14.2,25.9,176,23.60,6.48
2010-04-03,51,38.4,27.6,32.9,43.8,31.8,36.8,2010-04-03T06:13,2010-04-03T18:32,0.20,0.20,0.00,1.0,13.8,27.7,177,23.70,6.78
2010-04-04,51,38.1,28.2,32.9,43.0,32.5,36.7,2010-04-04T06:13,2010-04-04T18:32,0.10,0.10,0.00,1.0,15.5,31.7,184,23.72,6.97
2010-04-05,1,39.3,28.9,34.0,44.6,33.2,37.7,2010-04-05T06:12,2010-04-05T18:32,0.00,0.00,0.00,0.0,16.7,28.8,189,25.24,7.10
2010-04-06,51,39.4,28.7,33.6,44.5,31.8,36.8,2010-04-06T06:11,2010-04-06T18:32,0.20,0.20,0.00,1.0,16.0,36.4,180,23.55,7.53
2010-04-07,61,39.0,28.5,33.1,44.8,32.1,37.1,2010-04-07T06:10,2010-04-07T18:32,2.10,2.10,0.00,2.0,14.6,28.4,182,23.75,6.78
