latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.800003,102.0,187.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,31.3,21.5,26.3,34.0,24.6,29.1,2010-01-01T06:39,2010-01-01T17:51,0.00,0.00,0.00,0.0,7.3,26.6,83,17.02,3.85
2010-01-02,1,32.7,21.9,27.3,35.1,24.8,30.0,2010-01-02T06:39,2010-01-02T17:52,0.00,0.00,0.00,0.0,8.6,23.8,115,18.14,4.13
2010-01-03,1,31.2,22.7,26.7,33.8,25.4,29.2,2010-01-03T06:39,2010-01-03T17:52,0.00,0.00,0.00,0.0,12.6,31.3,57,15.45,3.65
2010-01-04,2,31.2,21.0,26.4,33.8,23.9,29.2,2010-01-04T06:40,2010-01-04T17:53,0.00,0.00,0.00,0.0,7.1,21.2,91,16.75,3.72
2010-01-05,51,32.1,22.2,27.5,35.5,25.4,30.7,2010-01-05T06:40,2010-01-05T17:53,0.20,0.20,0.00,1.0,7.7,23.4,241,16.60,3.77
2010-01-06,51,31.9,23.0,27.5,35.7,26.4,30.9,2010-01-06T06:40,2010-01-06T17:54,0.40,0.40,0.00,2.0,6.6,23.4,85,14.61,3.32
2010-01-07,3,27.5,23.5,25.0,29.2,25.2,27.5,2010-01-07T06:41,2010-01-07T17:54,0.00,0.00,0.00,0.0,12.4,31.3,37,9.39,2.54
2010-01-08,61,23.0,19.6,21.2,24.9,22.3,23.8,2010-01-08T06:41,2010-01-08T17:55,11.20,11.20,0.00,16.0,11.9,23.8,47,2.79,0.73
2010-01-09,3,27.9,17.5,22.6,30.6,19.2,24.8,2010-01-09T06:41,2010-01-09T17:56,0.00,0.00,0.00,0.0,9.8,25.2,60,15.60,3.05
2010-01-10,1,30.8,18.1,24.6,34.5,20.1,27.1,2010-01-10T06:41,2010-01-10T17:56,0.00,0.00,0.00,0.0,5.6,15.5,296,19.60,3.92
2010-01-11,1,31.6,19.5,25.6,34.0,21.9,28.0,2010-01-11T06:41,2010-01-11T17:57,0.00,0.00,0.00,0.0,5.8,16.6,279,19.13,3.88
2010-01-12,1,29.1,19.7,23.9,30.3,20.9,24.8,2010-01-12T06:42,2010-01-12T17:57,0.00,0.00,0.00,0.0,15.5,37.4,64,18.51,4.24
2010-01-13,2,26.5,16.6,21.6,26.5,14.7,20.8,2010-01-13T06:42,2010-01-13T17:58,0.00,0.00,0.00,0.0,16.7,39.2,59,19.37,4.48
2010-01-14,0,26.5,16.5,21.3,26.2,14.6,20.4,2010-01-14T06:42,2010-01-14T17:59,0.00,0.00,0.00,0.0,18.0,38.9,58,19.80,4.55
2010-01-15,1,28.4,16.3,22.3,29.4,16.5,22.8,2010-01-15T06:42,2010-01-15T17:59,0.00,0.00,0.00,0.0,12.4,30.2,43,19.67,4.20
2010-01-16,3,27.6,19.1,23.2,26.5,19.0,22.9,2010-01-16T06:42,2010-01-16T18:00,0.00,0.00,0.00,0.0,24.3,53.3,56,14.28,4.03
2010-01-17,1,27.5,17.7,22.5,27.1,17.0,21.7,2010-01-17T06:42,2010-01-17T18:00,0.00,0.00,0.00,0.0,18.7,40.3,52,20.10,4.88
2010-01-18,1,26.9,16.7,21.5,26.6,15.6,20.8,2010-01-18T06:42,2010-01-18T18:01,0.00,0.00,0.00,0.0,17.7,40.3,46,20.25,4.59
2010-01-19,2,28.0,16.4,22.2,28.4,16.2,22.3,2010-01-19T06:42,2010-01-19T18:02,0.00,0.00,0.00,0.0,15.0,34.9,39,19.84,4.41
