latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.400002,103.5,150.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,31.1,21.0,26.0,34.3,22.3,28.2,2010-01-01T06:34,2010-01-01T17:44,0.00,0.00,0.00,0.0,14.1,29.2,85,15.15,3.58
2010-01-02,1,31.8,21.6,26.7,35.0,23.2,29.1,2010-01-02T06:34,2010-01-02T17:45,0.00,0.00,0.00,0.0,12.3,24.8,73,16.65,3.87
2010-01-03,2,30.3,22.5,26.4,32.5,24.5,28.4,2010-01-03T06:35,2010-01-03T17:45,0.00,0.00,0.00,0.0,13.1,31.7,71,14.26,3.70
2010-01-04,2,30.7,20.9,25.9,34.4,22.9,28.4,2010-01-04T06:35,2010-01-04T17:46,0.00,0.00,0.00,0.0,9.3,19.8,81,16.17,3.55
2010-01-05,2,31.7,22.2,27.0,35.2,24.8,30.0,2010-01-05T06:35,2010-01-05T17:46,0.00,0.00,0.00,0.0,7.9,21.2,112,15.36,3.50
2010-01-06,2,32.6,21.7,27.3,34.8,24.0,29.6,2010-01-06T06:35,2010-01-06T17:47,0.00,0.00,0.00,0.0,13.5,27.7,102,16.47,4.08
2010-01-07,51,29.4,22.1,24.9,31.1,23.2,26.1,2010-01-07T06:36,2010-01-07T17:47,0.70,0.70,0.00,2.0,16.5,35.3,55,8.50,2.94
2010-01-08,61,23.5,19.6,21.4,24.7,21.2,22.9,2010-01-08T06:36,2010-01-08T17:48,9.40,9.40,0.00,11.0,13.1,24.1,64,6.17,1.51
2010-01-09,1,28.4,17.4,22.9,31.3,17.9,24.4,2010-01-09T06:36,2010-01-09T17:49,0.00,0.00,0.00,0.0,7.6,22.3,39,17.53,3.57
2010-01-10,1,30.9,18.8,24.7,33.8,20.9,26.9,2010-01-10T06:36,2010-01-10T17:49,0.00,0.00,0.00,0.0,8.4,18.7,25,19.43,4.12
2010-01-11,2,31.6,19.5,25.5,33.8,20.9,27.0,2010-01-11T06:37,2010-01-11T17:50,0.00,0.00,0.00,0.0,11.1,27.7,70,17.50,3.97
2010-01-12,1,28.8,17.5,22.9,28.8,14.9,21.8,2010-01-12T06:37,2010-01-12T17:50,0.00,0.00,0.00,0.0,20.8,43.2,81,17.28,4.96
