latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.0,99.5,32.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,32.4,22.8,27.9,36.1,27.1,31.6,2010-01-01T06:45,2010-01-01T18:04,0.00,0.00,0.00,0.0,8.4,20.2,175,15.52,3.58
2010-01-02,3,33.5,22.0,27.8,37.1,25.8,31.1,2010-01-02T06:46,2010-01-02T18:05,0.00,0.00,0.00,0.0,8.7,20.9,168,17.88,4.20
2010-01-03,1,34.3,21.3,27.8,37.3,24.8,30.9,2010-01-03T06:46,2010-01-03T18:05,0.00,0.00,0.00,0.0,7.0,21.2,191,19.75,4.46
2010-01-04,2,33.5,21.6,27.8,36.7,25.1,30.9,2010-01-04T06:46,2010-01-04T18:06,0.00,0.00,0.00,0.0,10.5,22.3,157,17.13,4.14
2010-01-05,2,33.0,24.4,28.5,37.1,29.0,32.5,2010-01-05T06:47,2010-01-05T18:06,0.00,0.00,0.00,0.0,9.2,25.2,142,16.56,3.90
2010-01-06,63,29.7,24.5,26.7,34.0,28.8,31.3,2010-01-06T06:47,2010-01-06T18:07,13.90,13.90,0.00,9.0,11.3,31.0,130,12.18,2.64
2010-01-07,55,31.3,23.6,26.4,35.6,28.6,31.4,2010-01-07T06:47,2010-01-07T18:08,3.60,3.60,0.00,7.0,8.0,30.6,61,13.08,2.87
2010-01-08,3,29.2,23.6,25.9,31.9,27.5,29.4,2010-01-08T06:48,2010-01-08T18:08,0.00,0.00,0.00,0.0,12.5,27.4,35,11.36,2.81
2010-01-09,3,30.2,21.3,25.8,33.7,25.0,29.2,2010-01-09T06:48,2010-01-09T18:09,0.00,0.00,0.00,0.0,9.4,25.2,12,17.44,3.78
2010-01-10,2,31.7,22.1,27.0,35.6,26.0,30.6,2010-01-10T06:48,2010-01-10T18:09,0.00,0.00,0.00,0.0,5.9,16.9,334,17.88,3.79
2010-01-11,1,32.9,20.2,26.9,36.2,23.2,29.9,2010-01-11T06:48,2010-01-11T18:10,0.00,0.00,0.00,0.0,8.4,15.1,236,18.24,3.90
2010-01-12,1,33.1,20.6,27.3,35.6,23.7,29.8,2010-01-12T06:48,2010-01-12T18:10,0.00,0.00,0.00,0.0,8.9,23.0,134,18.28,4.42
2010-01-13,51,30.0,21.0,26.0,32.5,23.7,28.6,2010-01-13T06:49,2010-01-13T18:11,1.20,1.20,0.00,6.0,12.0,32.0,55,16.60,3.77
2010-01-14,3,29.9,21.7,25.8,31.5,23.2,27.0,2010-01-14T06:49,2010-01-14T18:12,0.00,0.00,0.00,0.0,12.2,30.6,29,17.02,4.31
2010-01-15,2,31.1,19.8,25.7,33.2,21.3,27.0,2010-01-15T06:49,2010-01-15T18:12,0.00,0.00,0.00,0.0,11.5,27.7,17,20.00,4.81
2010-01-16,3,31.1,21.0,26.2,31.4,22.4,27.0,2010-01-16T06:49,2010-01-16T18:13,0.00,0.00,0.00,0.0,18.6,41.8,27,16.91,4.79
2010-01-17,2,30.1,21.5,25.7,30.8,22.0,26.0,2010-01-17T06:49,2010-01-17T18:13,0.00,0.00,0.00,0.0,15.8,35.6,26,20.22,5.31
2010-01-18,1,29.1,20.5,24.5,29.0,20.4,24.2,2010-01-18T06:49,2010-01-18T18:14,0.00,0.00,0.00,0.0,15.0,34.6,17,21.07,5.32
2010-01-19,1,30.1,18.3,24.3,30.1,18.5,24.3,2010-01-19T06:49,2010-01-19T18:14,0.00,0.00,0.00,0.0,14.2,33.1,11,21.08,5.15
2010-01-20,1,31.9,18.8,25.3,33.0,19.4,26.0,2010-01-20T06:50,2010-01-20T18:15,0.00,0.00,0.00,0.0,15.0,33.8,13,18.45,4.78
2010-01-21,3,31.2,22.4,25.8,33.3,24.2,27.9,2010-01-21T06:50,2010-01-21T18:15,0.00,0.00,0.00,0.0,12.4,29.9,17,11.46,3.11
2010-01-22,53,31.6,22.3,26.3,36.3,26.2,30.4,2010-01-22T06:50,2010-01-22T18:16,1.80,1.80,0.00,6.0,8.9,23.0,28,16.65,3.63
2010-01-23,53,30.5,23.5,26.3,34.3,28.3,30.6,2010-01-23T06:50,2010-01-23T18:16,2.00,2.00,0.00,7.0,10.9,27.4,84,12.96,2.83
2010-01-24,51,31.7,21.1,26.4,34.8,25.1,30.3,2010-01-24T06:50,2010-01-24T18:17,0.10,0.10,0.00,1.0,8.7,24.5,125,17.63,3.89
2010-01-25,53,31.4,22.7,26.5,36.0,27.1,30.9,2010-01-25T06:50,2010-01-25T18:18,1.20,1.20,0.00,5.0,6.0,27.0,7,15.88,3.39
2010-01-26,51,31.1,23.6,27.0,33.8,27.2,30.4,2010-01-26T06:50,2010-01-26T18:18,0.40,0.40,0.00,2.0,14.2,31.7,31,16.92,3.84
2010-01-27,1,32.4,23.3,27.8,36.1,27.3,31.3,2010-01-27T06:49,2010-01-27T18:18,0.00,0.00,0.00,0.0,7.2,24.8,44,18.12,4.04
2010-01-28,1,32.5,23.4,28.1,35.4,27.2,31.4,2010-01-28T06:49,2010-01-28T18:19,0.00,0.00,0.00,0.0,9.0,24.5,72,17.82,4.18
