latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.400002,102.80002,165.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,3,31.1,21.5,26.2,33.8,23.7,28.8,2010-01-01T06:37,2010-01-01T17:47,0.00,0.00,0.00,0.0,9.0,22.3,85,15.61,3.54
2010-01-02,3,31.9,22.5,26.8,34.8,25.4,29.7,2010-01-02T06:37,2010-01-02T17:47,0.00,0.00,0.00,0.0,6.9,18.7,63,16.70,3.66
2010-01-03,2,30.6,23.3,26.7,32.8,25.9,29.1,2010-01-03T06:37,2010-01-03T17:48,0.00,0.00,0.00,0.0,10.0,26.6,62,14.35,3.48
2010-01-04,1,31.1,21.3,26.4,34.7,23.7,29.3,2010-01-04T06:38,2010-01-04T17:48,0.00,0.00,0.00,0.0,6.9,18.4,82,16.91,3.66
2010-01-05,2,31.9,22.7,27.4,35.0,26.1,30.6,2010-01-05T06:38,2010-01-05T17:49,0.00,0.00,0.00,0.0,7.2,17.3,87,14.91,3.31
2010-01-06,3,32.6,21.9,27.6,35.5,25.0,30.4,2010-01-06T06:38,2010-01-06T17:50,0.00,0.00,0.00,0.0,6.9,21.6,107,16.12,3.79
2010-01-07,51,26.5,21.9,24.1,29.6,23.7,26.0,2010-01-07T06:38,2010-01-07T17:50,1.40,1.40,0.00,7.0,13.7,25.9,44,4.45,1.72
2010-01-08,53,23.3,20.4,21.6,25.3,22.9,24.0,2010-01-08T06:39,2010-01-08T17:51,6.10,6.10,0.00,15.0,10.0,18.4,55,4.53,1.07
2010-01-09,3,28.3,17.1,22.9,31.4,18.6,24.8,2010-01-09T06:39,2010-01-09T17:51,0.00,0.00,0.00,0.0,6.3,19.8,21,15.57,3.27
2010-01-10,2,31.2,19.0,25.0,34.3,21.7,27.4,2010-01-10T06:39,2010-01-10T17:52,0.00,0.00,0.00,0.0,8.5,17.3,342,19.43,4.04
2010-01-11,2,31.9,20.2,25.9,34.3,22.4,27.6,2010-01-11T06:39,2010-01-11T17:52,0.00,0.00,0.00,0.0,7.8,18.7,92,17.00,3.71
2010-01-12,1,29.0,19.7,24.0,29.5,17.6,23.7,2010-01-12T06:39,2010-01-12T17:53,0.00,0.00,0.00,0.0,19.1,37.1,81,16.89,4.58
2010-01-13,1,26.9,15.7,21.0,26.8,14.2,19.9,2010-01-13T06:40,2010-01-13T17:54,0.00,0.00,0.00,0.0,16.2,33.5,69,19.29,4.58
2010-01-14,1,27.0,15.9,21.1,26.9,14.6,20.3,2010-01-14T06:40,2010-01-14T17:54,0.00,0.00,0.00,0.0,15.1,30.2,65,19.05,4.34
2010-01-15,1,28.5,16.4,22.5,29.5,16.6,23.0,2010-01-15T06:40,2010-01-15T17:55,0.00,0.00,0.00,0.0,10.0,26.3,43,19.10,4.11
2010-01-16,3,27.3,19.2,23.3,26.2,19.5,22.8,2010-01-16T06:40,2010-01-16T17:56,0.00,0.00,0.00,0.0,21.3,45.0,69,11.64,3.81
2010-01-17,1,28.0,17.1,22.3,27.8,16.9,21.6,2010-01-17T06:40,2010-01-17T17:56,0.00,0.00,0.00,0.0,17.7,36.0,59,19.08,4.84
2010-01-18,1,27.5,16.0,21.6,27.2,15.6,21.0,2010-01-18T06:40,2010-01-18T17:57,0.00,0.00,0.00,0.0,14.0,32.8,46,19.83,4.53
2010-01-19,2,28.2,16.3,22.6,29.0,16.7,22.9,2010-01-19T06:40,2010-01-19T17:57,0.00,0.00,0.00,0.0,12.4,28.8,40,18.92,4.22
2010-01-20,55,25.0,20.0,22.3,26.8,21.6,23.6,2010-01-20T06:40,2010-01-20T17:58,6.00,6.00,0.00,13.0,15.3,27.7,28,6.48,1.84
