latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.5,101.70001,245.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,3,28.7,20.4,24.3,32.2,23.3,27.9,2010-01-01T06:43,2010-01-01T17:49,0.00,0.00,0.00,0.0,8.3,24.5,127,13.26,2.73
2010-01-02,51,29.5,21.9,24.8,33.4,25.5,28.6,2010-01-02T06:43,2010-01-02T17:50,0.40,0.40,0.00,3.0,5.6,25.9,80,13.17,2.70
2010-01-03,51,29.0,20.8,24.4,32.3,24.4,28.0,2010-01-03T06:44,2010-01-03T17:50,0.20,0.20,0.00,2.0,7.2,25.6,100,13.58,2.77
2010-01-04,51,30.0,21.0,25.1,33.3,24.2,28.5,2010-01-04T06:44,2010-01-04T17:51,0.10,0.10,0.00,1.0,6.4,17.6,115,15.40,3.21
2010-01-05,2,30.6,20.7,25.5,33.7,23.8,28.7,2010-01-05T06:44,2010-01-05T17:51,0.00,0.00,0.00,0.0,7.2,19.1,158,14.62,3.09
2010-01-06,51,30.4,21.9,25.4,33.9,25.6,29.1,2010-01-06T06:44,2010-01-06T17:52,0.80,0.80,0.00,4.0,8.2,23.8,133,14.87,3.21
2010-01-07,63,23.9,20.1,21.8,27.6,23.3,24.8,2010-01-07T06:45,2010-01-07T17:53,20.10,20.10,0.00,21.0,12.1,25.9,88,4.86,1.05
2010-01-08,63,22.6,19.7,20.9,24.9,22.7,23.7,2010-01-08T06:45,2010-01-08T17:53,9.50,9.50,0.00,12.0,7.8,16.9,115,3.68,0.89
2010-01-09,3,26.0,19.7,22.3,29.1,22.4,25.3,2010-01-09T06:45,2010-01-09T17:54,0.00,0.00,0.00,0.0,7.1,18.4,150,10.14,2.03
2010-01-10,1,28.9,18.7,23.6,32.3,20.8,26.5,2010-01-10T06:45,2010-01-10T17:54,0.00,0.00,0.00,0.0,7.4,19.4,279,17.17,3.50
2010-01-11,1,29.4,18.5,23.8,32.1,20.7,26.4,2010-01-11T06:46,2010-01-11T17:55,0.00,0.00,0.00,0.0,8.4,19.4,103,16.73,3.48
2010-01-12,2,26.4,18.8,22.4,28.1,19.6,23.4,2010-01-12T06:46,2010-01-12T17:56,0.00,0.00,0.00,0.0,14.1,31.0,100,15.17,3.31
2010-01-13,1,23.4,16.0,19.5,23.8,15.1,19.3,2010-01-13T06:46,2010-01-13T17:56,0.00,0.00,0.00,0.0,12.7,27.7,101,17.85,3.47
2010-01-14,1,23.8,15.6,19.6,24.8,15.2,19.7,2010-01-14T06:46,2010-01-14T17:57,0.00,0.00,0.00,0.0,11.3,23.4,102,18.46,3.55
2010-01-15,1,26.0,17.0,21.2,28.9,17.6,22.7,2010-01-15T06:46,2010-01-15T17:58,0.00,0.00,0.00,0.0,6.2,19.4,92,19.11,3.54
2010-01-16,3,25.7,17.3,21.5,26.4,18.3,22.6,2010-01-16T06:46,2010-01-16T17:58,0.00,0.00,0.00,0.0,13.3,31.7,101,13.09,2.77
2010-01-17,3,25.3,17.5,21.1,26.7,18.5,21.9,2010-01-17T06:46,2010-01-17T17:59,0.00,0.00,0.00,0.0,13.7,25.6,87,18.01,3.64
2010-01-18,2,25.1,16.3,20.4,26.3,17.2,20.9,2010-01-18T06:46,2010-01-18T17:59,0.00,0.00,0.00,0.0,14.2,29.9,89,19.80,3.81
2010-01-19,1,26.2,16.8,21.2,27.9,16.4,22.0,2010-01-19T06:46,2010-01-19T18:00,0.00,0.00,0.00,0.0,7.9,20.9,74,19.62,3.85
2010-01-20,51,27.9,18.7,23.0,30.7,19.9,24.8,2010-01-20T06:46,2010-01-20T18:01,0.50,0.50,0.00,2.0,9.0,20.9,46,13.37,2.91
2010-01-21,63,22.6,20.5,21.8,25.7,23.6,25.0,2010-01-21T06:46,2010-01-21T18:01,24.70,24.70,0.00,18.0,5.6,22.3,12,2.88,0.73
2010-01-22,63,22.6,20.3,21.2,26.5,23.4,24.8,2010-01-22T06:46,2010-01-22T18:02,33.00,33.00,0.00,17.0,5.7,23.4,348,3.18,0.73
2010-01-23,55,23.4,20.0,21.5,27.3,23.4,25.1,2010-01-23T06:46,2010-01-23T18:03,5.30,5.30,0.00,13.0,8.2,20.2,65,3.28,0.77
2010-01-24,51,25.1,20.3,22.2,27.8,22.8,24.8,2010-01-24T06:46,2010-01-24T18:03,0.20,0.20,0.00,1.0,8.6,20.5,92,10.90,2.21
2010-01-25,51,27.2,20.1,23.4,30.0,23.1,26.2,2010-01-25T06:46,2010-01-25T18:04,0.10,0.10,0.00,1.0,12.4,26.6,63,14.29,2.92
2010-01-26,3,26.0,18.3,22.4,27.7,19.5,24.0,2010-01-26T06:46,2010-01-26T18:04,0.00,0.00,0.00,0.0,14.8,29.9,107,16.32,3.28
2010-01-27,3,26.7,18.3,22.6,30.5,20.0,25.0,2010-01-27T06:46,2010-01-27T18:05,0.00,0.00,0.00,0.0,8.6,18.4,92,18.06,3.47
2010-01-28,1,29.1,18.0,23.9,34.1,20.0,27.2,2010-01-28T06:46,2010-01-28T18:05,0.00,0.00,0.00,0.0,7.6,13.7,68,19.03,3.76
2010-01-29,51,29.7,19.0,24.5,34.6,22.0,27.9,2010-01-29T06:45,2010-01-29T18:06,0.10,0.10,0.00,1.0,7.4,16.9,156,17.88,3.65
2010-01-30,1,31.1,19.9,25.2,34.9,22.7,28.4,2010-01-30T06:45,2010-01-30T18:06,0.00,0.00,0.00,0.0,7.7,14.8,304,17.81,3.77
2010-01-31,1,31.7,19.5,25.3,34.8,21.8,28.1,2010-01-31T06:45,2010-01-31T18:07,0.00,0.00,0.00,0.0,8.1,17.6,326,19.86,4.28
2010-02-01,0,32.0,18.5,25.3,35.5,20.3,27.9,2010-02-01T06:45,2010-02-01T18:07,0.00,0.00,0.00,0.0,8.6,15.5,336,20.60,4.42
2010-02-02,0,32.0,18.9,25.6,35.4,20.7,28.4,2010-02-02T06:44,2010-02-02T18:08,0.00,0.00,0.00,0.0,6.9,19.8,302,19.93,4.32
2010-02-03,1,32.0,18.9,25.5,35.9,21.3,28.6,2010-02-03T06:44,2010-02-03T18:08,0.00,0.00,0.00,0.0,7.6,16.2,258,19.76,4.23
2010-02-04,53,31.2,20.7,25.4,36.4,23.7,29.3,2010-02-04T06:44,2010-02-04T18:09,0.80,0.80,0.00,1.0,7.9,19.1,268,16.88,3.52
2010-02-05,51,31.4,21.6,26.0,36.4,25.6,30.3,2010-02-05T06:44,2010-02-05T18:09,0.10,0.10,0.00,1.0,8.2,20.2,224,18.30,3.85
2010-02-06,61,31.1,21.9,25.5,37.2,25.5,29.8,2010-02-06T06:43,2010-02-06T18:10,3.70,3.70,0.00,3.0,7.4,23.0,201,17.97,3.70
2010-02-07,2,30.7,20.6,25.6,35.5,24.3,29.3,2010-02-07T06:43,2010-02-07T18:10,0.00,0.00,0.00,0.0,6.9,15.1,171,18.63,3.90
2010-02-08,51,31.1,20.9,25.6,36.4,24.1,29.3,2010-02-08T06:42,2010-02-08T18:11,0.40,0.40,0.00,1.0,7.6,21.6,211,18.13,3.82
2010-02-09,1,32.6,20.5,26.2,35.6,23.5,29.2,2010-02-09T06:42,2010-02-09T18:11,0.00,0.00,0.00,0.0,9.0,23.8,242,19.79,4.41
2010-02-10,1,33.1,19.4,26.0,36.5,21.7,28.8,2010-02-10T06:42,2010-02-10T18:12,0.00,0.00,0.00,0.0,10.2,25.6,250,20.33,4.63
2010-02-11,0,33.9,19.5,26.5,37.2,21.7,29.2,2010-02-11T06:41,2010-02-11T18:12,0.00,0.00,0.00,0.0,8.7,23.0,269,21.56,4.82
