latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.800003,100.70001,18.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,32.3,23.4,28.1,36.4,27.9,32.2,2010-01-01T06:42,2010-01-01T17:58,0.10,0.10,0.00,1.0,6.2,20.2,163,15.47,3.52
2010-01-02,1,33.5,23.4,28.5,36.1,27.7,32.0,2010-01-02T06:43,2010-01-02T17:59,0.00,0.00,0.00,0.0,7.1,19.8,179,16.52,3.94
2010-01-03,1,33.4,23.3,28.6,36.7,27.4,32.0,2010-01-03T06:43,2010-01-03T17:59,0.00,0.00,0.00,0.0,6.6,22.7,39,16.59,3.92
2010-01-04,1,33.5,24.3,28.9,37.1,28.0,32.1,2010-01-04T06:43,2010-01-04T18:00,0.00,0.00,0.00,0.0,11.9,22.0,176,16.71,4.17
2010-01-05,3,33.3,24.9,28.9,37.5,29.7,33.0,2010-01-05T06:44,2010-01-05T18:01,0.00,0.00,0.00,0.0,11.2,28.1,176,16.17,3.78
2010-01-06,61,31.2,24.1,27.3,35.9,29.6,32.1,2010-01-06T06:44,2010-01-06T18:01,7.50,7.50,0.00,8.0,8.2,29.9,195,12.24,2.82
2010-01-07,53,30.2,23.5,26.6,34.6,28.3,31.2,2010-01-07T06:44,2010-01-07T18:02,2.00,2.00,0.00,6.0,6.8,28.1,42,12.26,2.71
2010-01-08,53,27.0,22.8,24.6,29.5,25.4,27.3,2010-01-08T06:44,2010-01-08T18:02,2.80,2.80,0.00,9.0,16.2,34.2,47,5.75,1.73
2010-01-09,3,30.4,21.3,25.5,33.8,23.2,27.9,2010-01-09T06:45,2010-01-09T18:03,0.00,0.00,0.00,0.0,9.7,26.6,39,16.69,3.74
2010-01-10,1,32.1,21.0,26.4,35.4,24.2,29.7,2010-01-10T06:45,2010-01-10T18:03,0.00,0.00,0.00,0.0,7.0,17.6,360,18.11,3.93
2010-01-11,1,33.0,21.5,27.1,36.4,24.8,30.1,2010-01-11T06:45,2010-01-11T18:04,0.00,0.00,0.00,0.0,8.5,16.6,140,18.88,4.15
2010-01-12,1,32.7,21.2,27.1,34.6,24.2,29.2,2010-01-12T06:45,2010-01-12T18:05,0.00,0.00,0.00,0.0,8.6,28.1,118,17.41,4.16
2010-01-13,1,30.9,21.5,26.2,32.8,20.1,26.4,2010-01-13T06:46,2010-01-13T18:05,0.00,0.00,0.00,0.0,19.0,40.0,66,19.51,5.45
2010-01-14,1,29.4,20.8,25.4,30.5,18.8,25.1,2010-01-14T06:46,2010-01-14T18:06,0.00,0.00,0.00,0.0,21.6,47.2,63,18.17,5.19
2010-01-15,1,31.4,21.4,26.1,33.2,21.0,26.6,2010-01-15T06:46,2010-01-15T18:06,0.00,0.00,0.00,0.0,14.2,31.3,54,19.59,5.11
2010-01-16,2,31.3,22.4,26.3,30.7,22.2,26.2,2010-01-16T06:46,2010-01-16T18:07,0.00,0.00,0.00,0.0,22.3,47.9,56,17.76,5.43
2010-01-17,1,30.5,20.8,25.4,30.3,19.4,24.6,2010-01-17T06:46,2010-01-17T18:08,0.00,0.00,0.00,0.0,22.8,48.6,57,20.33,5.86
2010-01-18,1,29.4,19.4,24.4,29.5,17.4,23.4,2010-01-18T06:46,2010-01-18T18:08,0.00,0.00,0.00,0.0,22.7,49.0,53,20.39,5.63
2010-01-19,1,30.5,19.9,25.1,30.9,19.0,24.9,2010-01-19T06:46,2010-01-19T18:09,0.00,0.00,0.00,0.0,16.1,37.8,47,20.36,5.23
2010-01-20,3,29.4,22.6,25.7,30.2,23.5,26.6,2010-01-20T06:46,2010-01-20T18:09,0.00,0.00,0.00,0.0,14.5,31.7,26,8.00,2.99
2010-01-21,63,25.7,23.2,24.6,28.2,25.4,26.9,2010-01-21T06:46,2010-01-21T18:10,5.10,5.10,0.00,9.0,17.3,32.8,49,6.27,2.02
2010-01-22,51,28.9,22.9,25.6,32.6,26.6,29.6,2010-01-22T06:46,2010-01-22T18:10,0.60,0.60,0.00,4.0,7.9,21.2,138,9.87,2.24
2010-01-23,55,31.0,22.8,25.8,35.1,27.2,30.3,2010-01-23T06:46,2010-01-23T18:11,4.20,4.20,0.00,10.0,6.8,22.7,113,12.78,2.74
2010-01-24,51,31.1,22.9,26.3,35.1,27.0,30.5,2010-01-24T06:46,2010-01-24T18:11,0.80,0.80,0.00,5.0,9.5,25.2,75,16.08,3.49
2010-01-25,1,31.7,22.4,27.1,34.3,25.8,30.1,2010-01-25T06:46,2010-01-25T18:12,0.00,0.00,0.00,0.0,9.4,27.4,51,17.19,4.09
2010-01-26,3,31.5,23.0,27.3,34.2,22.7,28.6,2010-01-26T06:46,2010-01-26T18:12,0.00,0.00,0.00,0.0,21.6,47.2,68,17.57,4.81
2010-01-27,3,32.3,25.1,28.2,35.3,26.3,30.3,2010-01-27T06:46,2010-01-27T18:13,0.00,0.00,0.00,0.0,12.4,30.2,56,17.62,4.61
