latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.200005,103.30002,153.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,31.4,21.1,26.3,34.6,22.6,28.5,2010-01-01T06:34,2010-01-01T17:45,0.00,0.00,0.00,0.0,12.7,27.7,88,15.48,3.68
2010-01-02,1,32.3,21.9,27.1,35.3,23.7,29.5,2010-01-02T06:35,2010-01-02T17:46,0.00,0.00,0.00,0.0,10.9,22.7,81,17.21,3.92
2010-01-03,2,30.6,22.7,26.6,32.7,24.8,28.8,2010-01-03T06:35,2010-01-03T17:46,0.00,0.00,0.00,0.0,12.4,31.3,68,14.84,3.80
2010-01-04,2,31.0,21.0,26.2,34.6,23.1,28.8,2010-01-04T06:35,2010-01-04T17:47,0.00,0.00,0.00,0.0,9.2,20.5,87,16.64,3.71
2010-01-05,2,32.0,22.3,27.2,34.9,25.5,30.1,2010-01-05T06:36,2010-01-05T17:48,0.00,0.00,0.00,0.0,7.2,19.8,128,15.49,3.54
2010-01-06,2,32.7,21.8,27.6,35.0,24.2,30.0,2010-01-06T06:36,2010-01-06T17:48,0.00,0.00,0.00,0.0,8.2,21.6,114,16.81,4.11
2010-01-07,51,29.7,22.5,25.3,31.8,23.9,26.7,2010-01-07T06:36,2010-01-07T17:49,0.10,0.10,0.00,1.0,16.5,33.1,51,8.94,3.02
2010-01-08,61,22.9,19.9,21.3,24.4,21.2,23.1,2010-01-08T06:36,2010-01-08T17:49,7.80,7.80,0.00,15.0,12.4,24.1,52,4.82,1.24
2010-01-09,2,28.8,17.3,23.1,31.4,17.9,24.4,2010-01-09T06:37,2010-01-09T17:50,0.00,0.00,0.00,0.0,7.9,23.8,38,17.11,3.62
2010-01-10,1,31.3,19.6,25.1,34.3,22.2,27.3,2010-01-10T06:37,2010-01-10T17:50,0.00,0.00,0.00,0.0,8.4,16.6,39,19.65,4.08
2010-01-11,1,31.8,19.5,25.6,34.2,21.1,27.1,2010-01-11T06:37,2010-01-11T17:51,0.00,0.00,0.00,0.0,8.2,18.7,91,17.77,3.96
2010-01-12,1,29.5,18.2,23.5,29.6,15.7,22.6,2010-01-12T06:37,2010-01-12T17:52,0.00,0.00,0.00,0.0,20.6,41.0,80,17.13,5.00
2010-01-13,1,27.2,15.3,20.7,26.9,13.4,19.1,2010-01-13T06:37,2010-01-13T17:52,0.00,0.00,0.00,0.0,20.3,37.1,69,19.47,4.89
2010-01-14,1,27.4,15.9,21.1,27.1,14.2,20.0,2010-01-14T06:37,2010-01-14T17:53,0.00,0.00,0.00,0.0,17.7,36.4,65,19.52,4.63
2010-01-15,1,28.8,16.6,22.5,29.6,16.5,22.8,2010-01-15T06:38,2010-01-15T17:53,0.00,0.00,0.00,0.0,12.0,27.0,47,18.98,4.30
2010-01-16,3,27.1,19.2,22.9,25.4,19.0,22.1,2010-01-16T06:38,2010-01-16T17:54,0.00,0.00,0.00,0.0,25.6,52.2,62,12.20,4.01
2010-01-17,3,28.2,16.9,21.9,27.6,15.9,20.7,2010-01-17T06:38,2010-01-17T17:55,0.00,0.00,0.00,0.0,19.6,40.7,60,18.49,4.98
2010-01-18,2,27.7,16.3,21.7,27.3,15.4,20.8,2010-01-18T06:38,2010-01-18T17:55,0.00,0.00,0.00,0.0,16.5,38.5,51,19.63,4.65
2010-01-19,2,28.6,16.6,22.8,29.3,16.7,23.1,2010-01-19T06:38,2010-01-19T17:56,0.00,0.00,0.00,0.0,12.9,29.5,42,18.23,4.19
2010-01-20,61,25.4,20.0,22.5,26.5,21.4,23.7,2010-01-20T06:38,2010-01-20T17:56,7.80,7.80,0.00,14.0,15.3,29.5,27,7.20,2.09
2010-01-21,61,27.0,20.9,23.0,29.3,23.0,26.0,2010-01-21T06:38,2010-01-21T17:57,9.80,9.80,0.00,19.0,11.7,32.4,70,6.61,1.58
2010-01-22,63,28.5,22.1,24.1,32.0,26.2,28.0,2010-01-22T06:38,2010-01-22T17:58,18.00,18.00,0.00,19.0,10.6,34.9,138,7.43,1.76
2010-01-23,63,28.1,21.9,24.5,32.3,24.8,28.4,2010-01-23T06:38,2010-01-23T17:58,6.90,6.90,0.00,9.0,12.4,24.8,29,11.96,2.49
2010-01-24,51,27.4,19.3,23.5,30.6,20.0,25.0,2010-01-24T06:38,2010-01-24T17:59,0.10,0.10,0.00,1.0,13.8,25.2,47,16.34,3.57
2010-01-25,2,30.2,20.0,24.7,32.3,21.2,26.0,2010-01-25T06:38,2010-01-25T17:59,0.00,0.00,0.00,0.0,21.1,40.0,54,18.92,4.57
2010-01-26,3,29.0,19.1,23.7,30.1,18.7,23.9,2010-01-26T06:38,2010-01-26T18:00,0.00,0.00,0.00,0.0,19.0,36.7,68,18.20,4.59
2010-01-27,0,29.0,18.4,23.5,32.2,18.8,25.0,2010-01-27T06:38,2010-01-27T18:00,0.00,0.00,0.00,0.0,14.4,28.1,50,20.21,4.31
2010-01-28,0,31.2,19.6,25.3,34.5,21.5,27.5,2010-01-28T06:37,2010-01-28T18:01,0.00,0.00,0.00,0.0,9.9,23.4,8,20.51,4.48
2010-01-29,0,32.2,20.0,25.8,35.5,22.2,28.5,2010-01-29T06:37,2010-01-29T18:01,0.00,0.00,0.00,0.0,8.3,20.2,68,19.53,4.14
2010-01-30,1,32.6,20.1,26.6,36.5,22.0,29.2,2010-01-30T06:37,2010-01-30T18:02,0.00,0.00,0.00,0.0,7.3,17.3,44,19.68,4.24
2010-01-31,1,32.7,21.5,27.4,36.0,24.5,30.5,2010-01-31T06:37,2010-01-31T18:02,0.00,0.00,0.00,0.0,8.2,22.0,331,18.12,4.20
2010-02-01,1,33.2,21.9,27.8,37.2,25.7,31.3,2010-02-01T06:37,2010-02-01T18:03,0.00,0.00,0.00,0.0,7.0,17.6,0,18.87,4.07
2010-02-02,1,33.2,22.2,27.8,36.9,25.7,31.1,2010-02-02T06:36,2010-02-02T18:03,0.00,0.00,0.00,0.0,6.9,23.4,264,18.34,4.22
2010-02-03,51,33.3,22.8,27.6,38.9,26.2,31.7,2010-02-03T06:36,2010-02-03T18:04,0.60,0.60,0.00,3.0,6.4,20.9,220,18.40,3.96
2010-02-04,61,32.6,23.8,27.8,37.0,28.2,32.1,2010-02-04T06:36,2010-02-04T18:04,2.50,2.50,0.00,4.0,6.5,22.7,225,16.92,3.75
