latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.5,104.70001,147.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,31.0,20.4,25.3,34.2,21.9,27.4,2010-01-01T06:29,2010-01-01T17:39,0.00,0.00,0.00,0.0,14.1,29.9,64,17.56,3.89
2010-01-02,1,31.6,20.6,25.8,35.5,22.4,28.2,2010-01-02T06:30,2010-01-02T17:39,0.00,0.00,0.00,0.0,13.8,29.2,52,18.07,4.01
2010-01-03,2,30.0,21.5,25.0,32.3,23.0,26.5,2010-01-03T06:30,2010-01-03T17:40,0.00,0.00,0.00,0.0,17.7,36.4,57,14.70,3.83
2010-01-04,2,30.4,19.9,25.1,34.3,21.6,27.6,2010-01-04T06:30,2010-01-04T17:41,0.00,0.00,0.00,0.0,10.7,22.7,53,16.20,3.44
2010-01-05,1,31.8,21.0,26.3,34.7,24.0,29.2,2010-01-05T06:31,2010-01-05T17:41,0.00,0.00,0.00,0.0,7.2,23.4,70,15.48,3.45
2010-01-06,1,31.6,20.9,26.2,34.2,23.4,28.5,2010-01-06T06:31,2010-01-06T17:42,0.00,0.00,0.00,0.0,18.7,37.4,62,15.33,3.82
2010-01-07,3,29.8,21.2,24.7,32.9,21.7,25.8,2010-01-07T06:31,2010-01-07T17:42,0.00,0.00,0.00,0.0,16.2,35.6,56,14.18,3.78
2010-01-08,55,22.6,18.5,20.3,22.3,18.7,20.4,2010-01-08T06:31,2010-01-08T17:43,2.90,2.90,0.00,5.0,16.3,37.4,53,7.21,1.98
2010-01-09,1,28.8,17.0,22.5,32.0,17.1,23.9,2010-01-09T06:31,2010-01-09T17:44,0.00,0.00,0.00,0.0,11.0,24.8,29,18.87,3.78
2010-01-10,1,31.0,18.5,24.5,33.8,20.2,26.5,2010-01-10T06:32,2010-01-10T17:44,0.00,0.00,0.00,0.0,8.0,18.7,351,19.43,4.10
2010-01-11,1,31.5,18.5,24.8,33.5,19.9,25.9,2010-01-11T06:32,2010-01-11T17:45,0.00,0.00,0.00,0.0,17.6,36.4,46,18.73,4.42
2010-01-12,3,26.9,15.4,20.8,25.5,12.8,19.1,2010-01-12T06:32,2010-01-12T17:45,0.00,0.00,0.00,0.0,23.6,50.0,64,18.46,4.78
2010-01-13,1,25.5,14.6,18.7,24.3,12.0,16.4,2010-01-13T06:32,2010-01-13T17:46,0.00,0.00,0.00,0.0,21.6,47.5,60,19.43,4.60
2010-01-14,1,26.7,14.9,19.8,25.7,12.9,18.3,2010-01-14T06:32,2010-01-14T17:47,0.00,0.00,0.00,0.0,18.4,44.6,60,19.05,4.50
2010-01-15,1,29.0,15.9,21.8,30.0,15.6,21.8,2010-01-15T06:32,2010-01-15T17:47,0.00,0.00,0.00,0.0,16.7,35.3,54,19.23,4.40
2010-01-16,51,25.8,17.8,21.3,25.2,16.4,20.6,2010-01-16T06:33,2010-01-16T17:48,0.20,0.20,0.00,1.0,22.6,50.0,47,13.91,3.60
2010-01-17,3,25.4,16.3,20.1,23.4,14.9,18.5,2010-01-17T06:33,2010-01-17T17:48,0.00,0.00,0.00,0.0,25.0,52.6,49,14.94,3.94
2010-01-18,3,26.2,16.0,20.6,24.7,14.8,19.4,2010-01-18T06:33,2010-01-18T17:49,0.00,0.00,0.00,0.0,22.3,49.3,51,16.68,4.12
2010-01-19,3,28.9,16.5,22.0,29.3,16.3,22.1,2010-01-19T06:33,2010-01-19T17:50,0.00,0.00,0.00,0.0,16.9,33.8,55,15.50,3.91
2010-01-20,61,29.1,19.3,21.8,29.8,20.1,23.0,2010-01-20T06:33,2010-01-20T17:50,8.50,8.50,0.00,16.0,17.7,36.7,49,6.31,1.74
2010-01-21,51,29.5,20.2,24.4,32.4,21.6,27.0,2010-01-21T06:33,2010-01-21T17:51,0.10,0.10,0.00,1.0,14.3,31.3,78,14.05,3.02
2010-01-22,51,29.8,21.7,25.2,32.9,24.8,28.5,2010-01-22T06:33,2010-01-22T17:51,0.10,0.10,0.00,1.0,10.5,31.7,97,13.86,3.02
2010-01-23,2,28.9,19.7,24.0,30.4,19.0,25.5,2010-01-23T06:33,2010-01-23T17:52,0.00,0.00,0.00,0.0,18.2,36.7,67,14.81,3.64
2010-01-24,3,29.1,18.6,23.2,31.6,18.0,23.7,2010-01-24T06:33,2010-01-24T17:53,0.00,0.00,0.00,0.0,15.0,33.8,59,15.51,3.90
2010-01-25,1,30.0,19.1,23.2,30.5,18.9,23.3,2010-01-25T06:33,2010-01-25T17:53,0.00,0.00,0.00,0.0,23.9,49.7,55,19.66,4.87
2010-01-26,2,28.5,18.4,22.2,27.7,17.3,21.3,2010-01-26T06:33,2010-01-26T17:54,0.00,0.00,0.00,0.0,24.3,54.4,59,17.96,4.60
2010-01-27,1,30.3,17.9,23.5,33.0,18.0,24.5,2010-01-27T06:32,2010-01-27T17:54,0.00,0.00,0.00,0.0,15.0,32.4,46,19.84,4.32
2010-01-28,0,32.0,18.8,25.1,34.9,20.5,27.2,2010-01-28T06:32,2010-01-28T17:55,0.00,0.00,0.00,0.0,10.0,21.6,28,20.46,4.44
2010-01-29,0,33.1,19.3,25.8,35.7,21.2,27.6,2010-01-29T06:32,2010-01-29T17:55,0.00,0.00,0.00,0.0,10.1,22.0,56,20.54,4.57
2010-01-30,2,33.6,19.9,26.5,36.6,22.1,28.8,2010-01-30T06:32,2010-01-30T17:56,0.00,0.00,0.00,0.0,10.0,22.0,56,19.22,4.16
2010-01-31,0,33.4,21.0,27.4,36.7,23.7,30.1,2010-01-31T06:32,2010-01-31T17:56,0.00,0.00,0.00,0.0,6.6,16.9,4,18.19,4.09
2010-02-01,1,33.2,22.7,28.2,36.5,26.1,31.2,2010-02-01T06:31,2010-02-01T17:57,0.00,0.00,0.00,0.0,7.1,18.0,228,16.85,3.95
2010-02-02,1,34.1,23.7,28.7,37.4,27.3,32.1,2010-02-02T06:31,2010-02-02T17:57,0.00,0.00,0.00,0.0,6.9,23.0,265,17.45,4.03
2010-02-03,53,33.9,24.0,28.0,37.4,27.8,32.1,2010-02-03T06:31,2010-02-03T17:58,3.20,3.20,0.00,8.0,5.9,21.6,199,16.55,3.72
2010-02-04,61,32.9,23.6,27.2,37.1,28.4,31.8,2010-02-04T06:31,2010-02-04T17:58,6.00,6.00,0.00,9.0,10.1,20.2,120,16.08,3.49
2010-02-05,55,31.7,23.6,26.8,37.7,28.5,31.8,2010-02-05T06:30,2010-02-05T17:59,4.10,4.10,0.00,8.0,5.4,22.3,188,16.70,3.51
2010-02-06,63,31.1,23.2,26.2,36.0,28.2,31.3,2010-02-06T06:30,2010-02-06T17:59,6.80,6.80,0.00,11.0,7.5,29.2,282,17.15,3.56
2010-02-07,63,30.1,22.5,25.6,34.7,27.3,30.4,2010-02-07T06:30,2010-02-07T18:00,14.70,14.70,0.00,10.0,7.8,26.3,344,16.52,3.36
2010-02-08,51,31.6,22.5,26.8,36.6,26.7,31.5,2010-02-08T06:29,2010-02-08T18:00,0.60,0.60,0.00,5.0,6.3,24.5,226,17.99,3.74
2010-02-09,51,31.7,23.8,27.5,35.7,28.5,31.9,2010-02-09T06:29,2010-02-09T18:00,0.10,0.10,0.00,1.0,9.0,24.1,250,17.98,3.92
2010-02-10,1,33.0,22.8,27.9,35.9,26.1,31.4,2010-02-10T06:29,2010-02-10T18:01,0.00,0.00,0.00,0.0,11.7,28.1,236,18.69,4.38
2010-02-11,1,34.2,23.2,28.4,38.0,26.6,32.2,2010-02-11T06:28,2010-02-11T18:01,0.00,0.00,0.00,0.0,10.5,25.9,243,20.13,4.56
2010-02-12,1,34.5,21.9,27.8,37.9,21.7,30.4,2010-02-12T06:28,2010-02-12T18:02,0.00,0.00,0.00,0.0,21.6,46.1,41,20.96,5.14
2010-02-13,1,31.9,20.4,25.7,36.2,20.3,27.6,2010-02-13T06:27,2010-02-13T18:02,0.00,0.00,0.00,0.0,16.6,36.0,75,20.50,4.76
2010-02-14,1,32.1,21.4,26.9,36.5,24.0,30.3,2010-02-14T06:27,2010-02-14T18:03,0.00,0.00,0.00,0.0,8.4,24.8,115,18.32,4.02
2010-02-15,51,32.9,22.7,27.1,36.8,23.4,30.1,2010-02-15T06:27,2010-02-15T18:03,0.30,0.30,0.00,1.0,17.2,36.0,76,17.62,4.20
2010-02-16,2,31.5,19.4,24.2,33.0,18.5,24.3,2010-02-16T06:26,2010-02-16T18:03,0.00,0.00,0.00,0.0,21.6,43.6,70,20.69,5.35
2010-02-17,1,28.1,17.7,21.8,28.2,15.7,20.8,2010-02-17T06:26,2010-02-17T18:04,0.00,0.00,0.00,0.0,21.4,45.4,63,19.11,4.84
2010-02-18,1,26.8,16.8,20.6,26.8,14.8,19.1,2010-02-18T06:25,2010-02-18T18:04,0.00,0.00,0.00,0.0,20.8,44.3,61,19.11,4.69
2010-02-19,2,24.5,15.9,19.1,23.7,13.6,17.1,2010-02-19T06:25,2010-02-19T18:04,0.00,0.00,0.00,0.0,22.7,49.3,58,18.36,4.41
2010-02-20,3,26.6,15.1,20.3,28.4,13.5,20.5,2010-02-20T06:24,2010-02-20T18:05,0.00,0.00,0.00,0.0,12.7,27.0,50,15.15,3.32
2010-02-21,51,30.2,17.9,24.1,34.5,18.8,26.3,2010-02-21T06:23,2010-02-21T18:05,0.20,0.20,0.00,1.0,8.9,25.6,79,19.89,4.13
2010-02-22,51,31.5,21.3,26.3,35.6,24.4,29.8,2010-02-22T06:23,2010-02-22T18:05,0.70,0.70,0.00,3.0,7.6,20.9,152,18.61,3.98
2010-02-23,51,30.8,21.5,26.2,35.6,24.5,29.8,2010-02-23T06:22,2010-02-23T18:06,0.60,0.60,0.00,3.0,10.9,30.2,131,16.96,3.65
2010-02-24,51,32.3,23.2,27.6,33.5,26.4,30.0,2010-02-24T06:22,2010-02-24T18:06,0.30,0.30,0.00,2.0,18.0,41.8,220,19.16,4.87
2010-02-25,1,34.3,23.8,28.7,35.8,25.8,30.5,2010-02-25T06:21,2010-02-25T18:06,0.00,0.00,0.00,0.0,13.8,32.8,225,20.96,5.62
2010-02-26,1,35.0,23.5,28.9,37.0,25.1,30.2,2010-02-26T06:20,2010-02-26T18:07,0.00,0.00,0.00,0.0,13.0,30.2,221,22.81,6.13
2010-02-27,0,35.7,21.9,28.7,38.8,24.4,30.9,2010-02-27T06:20,2010-02-27T18:07,0.00,0.00,0.00,0.0,9.7,26.6,197,23.05,5.75
2010-02-28,51,34.9,24.7,29.3,37.6,27.0,32.1,2010-02-28T06:19,2010-02-28T18:07,0.30,0.30,0.00,1.0,12.7,36.7,197,20.77,5.43
2010-03-01,1,35.2,25.4,29.8,38.9,29.0,33.3,2010-03-01T06:19,2010-03-01T18:07,0.00,0.00,0.00,0.0,12.3,36.0,214,20.52,5.27
2010-03-02,1,35.3,26.1,30.4,37.3,28.8,32.7,2010-03-02T06:18,2010-03-02T18:08,0.00,0.00,0.00,0.0,15.6,38.2,221,20.11,5.75
2010-03-03,1,36.4,25.5,30.6,38.0,27.6,32.6,2010-03-03T06:17,2010-03-03T18:08,0.00,0.00,0.00,0.0,14.3,34.6,215,21.28,6.18
2010-03-04,1,36.8,25.8,30.9,38.4,27.4,32.3,2010-03-04T06:17,2010-03-04T18:08,0.00,0.00,0.00,0.0,16.1,34.9,219,23.84,7.05
2010-03-05,0,36.3,24.7,30.3,38.2,26.0,31.7,2010-03-05T06:16,2010-03-05T18:08,0.00,0.00,0.00,0.0,15.1,33.1,214,24.21,6.80
2010-03-06,0,36.1,24.0,29.8,37.9,24.5,30.9,2010-03-06T06:15,2010-03-06T18:09,0.00,0.00,0.00,0.0,12.6,31.0,220,24.79,6.74
2010-03-07,0,37.0,24.4,30.4,40.4,25.7,32.5,2010-03-07T06:15,2010-03-07T18:09,0.00,0.00,0.00,0.0,9.6,23.4,202,24.14,6.33
2010-03-08,1,36.3,23.9,30.3,40.6,28.0,33.7,2010-03-08T06:14,2010-03-08T18:09,0.00,0.00,0.00,0.0,8.4,26.6,147,22.59,5.68
2010-03-09,1,28.5,16.3,23.7,31.2,12.9,22.5,2010-03-09T06:13,2010-03-09T18:09,0.00,0.00,0.00,0.0,28.8,59.4,63,23.03,6.02
2010-03-10,3,24.9,15.6,19.3,23.4,12.4,16.4,2010-03-10T06:12,2010-03-10T18:10,0.00,0.00,0.00,0.0,27.0,59.8,57,22.66,5.56
2010-03-11,3,27.9,15.5,21.4,28.9,13.3,20.8,2010-03-11T06:12,2010-03-11T18:10,0.00,0.00,0.00,0.0,17.2,38.9,50,22.08,5.03
2010-03-12,1,32.4,18.3,25.4,36.9,19.3,27.6,2010-03-12T06:11,2010-03-12T18:10,0.00,0.00,0.00,0.0,7.2,17.6,80,24.66,5.20
2010-03-13,1,36.0,21.7,29.0,38.6,23.8,30.9,2010-03-13T06:10,2010-03-13T18:10,0.00,0.00,0.00,0.0,12.7,31.3,211,23.86,6.28
2010-03-14,0,36.3,24.7,30.3,38.6,25.7,32.0,2010-03-14T06:10,2010-03-14T18:10,0.00,0.00,0.00,0.0,14.1,33.5,205,24.26,6.69
2010-03-15,1,36.9,24.8,30.9,40.9,27.2,33.8,2010-03-15T06:09,2010-03-15T18:11,0.00,0.00,0.00,0.0,9.7,26.3,212,24.23,5.86
2010-03-16,1,34.6,21.8,28.2,35.8,21.5,29.4,2010-03-16T06:08,2010-03-16T18:11,0.00,0.00,0.00,0.0,23.5,49.0,59,22.85,6.58
2010-03-17,2,32.8,20.4,25.6,35.3,20.3,26.2,2010-03-17T06:07,2010-03-17T18:11,0.00,0.00,0.00,0.0,18.9,38.9,57,24.24,6.23
2010-03-18,1,32.6,21.3,26.2,33.7,21.8,26.5,2010-03-18T06:06,2010-03-18T18:11,0.00,0.00,0.00,0.0,20.5,43.9,57,25.13,6.62
2010-03-19,1,32.8,20.1,26.2,36.8,20.9,28.0,2010-03-19T06:06,2010-03-19T18:11,0.00,0.00,0.00,0.0,15.3,29.2,54,25.65,5.57
2010-03-20,1,35.5,20.1,28.1,39.5,22.3,30.7,2010-03-20T06:05,2010-03-20T18:11,0.00,0.00,0.00,0.0,7.2,18.0,47,24.60,5.45
2010-03-21,2,34.7,23.2,29.3,37.9,25.7,32.0,2010-03-21T06:04,2010-03-21T18:12,0.00,0.00,0.00,0.0,11.1,22.0,77,21.52,5.00
2010-03-22,61,34.4,23.7,28.1,38.8,27.5,32.2,2010-03-22T06:03,2010-03-22T18:12,2.40,2.40,0.00,2.0,11.6,29.9,163,20.31,4.75
2010-03-23,51,35.0,25.3,29.8,39.5,29.9,33.9,2010-03-23T06:03,2010-03-23T18:12,0.20,0.20,0.00,1.0,9.3,25.2,223,19.69,4.87
2010-03-24,2,35.6,26.4,30.9,39.7,29.6,34.3,2010-03-24T06:02,2010-03-24T18:12,0.00,0.00,0.00,0.0,12.7,32.8,218,22.58,5.96
2010-03-25,51,30.3,18.3,25.3,32.0,15.6,25.6,2010-03-25T06:01,2010-03-25T18:12,0.40,0.40,0.00,1.0,26.6,56.2,69,23.40,5.96
