latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.700005,100.100006,32.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,2,31.4,24.1,27.7,35.8,29.0,32.4,2010-01-01T06:46,2010-01-01T17:59,0.00,0.00,0.00,0.0,6.2,24.1,151,14.05,3.13
2010-01-02,51,32.0,24.0,28.0,36.0,29.1,32.4,2010-01-02T06:46,2010-01-02T17:59,0.20,0.20,0.00,1.0,6.5,20.9,155,15.57,3.51
2010-01-03,51,32.3,23.7,28.2,36.8,28.5,32.5,2010-01-03T06:47,2010-01-03T18:00,0.10,0.10,0.00,1.0,6.5,19.4,84,15.21,3.18
2010-01-04,2,32.6,23.1,27.9,36.5,27.4,31.7,2010-01-04T06:47,2010-01-04T18:01,0.00,0.00,0.00,0.0,7.4,24.5,183,16.00,3.69
2010-01-05,51,32.6,24.3,28.3,38.0,28.5,32.7,2010-01-05T06:47,2010-01-05T18:01,0.10,0.10,0.00,1.0,11.4,23.4,182,16.80,3.66
2010-01-06,63,30.8,24.4,27.1,36.3,29.0,31.8,2010-01-06T06:48,2010-01-06T18:02,4.70,4.70,0.00,5.0,9.2,25.2,175,12.03,2.64
2010-01-07,51,28.3,23.2,25.7,32.6,27.9,30.3,2010-01-07T06:48,2010-01-07T18:02,1.50,1.50,0.00,6.0,6.9,22.0,65,8.27,1.87
2010-01-08,63,26.9,22.0,24.0,31.0,25.7,28.3,2010-01-08T06:48,2010-01-08T18:03,12.80,12.80,0.00,16.0,8.9,22.7,96,5.79,1.26
2010-01-09,3,28.7,20.3,24.3,32.7,23.7,28.0,2010-01-09T06:48,2010-01-09T18:03,0.00,0.00,0.00,0.0,6.0,20.2,96,13.61,2.70
2010-01-10,2,30.7,21.9,25.9,35.1,25.9,29.9,2010-01-10T06:49,2010-01-10T18:04,0.00,0.00,0.00,0.0,7.9,16.2,18,18.36,3.78
2010-01-11,1,31.5,20.6,26.1,35.3,23.9,30.0,2010-01-11T06:49,2010-01-11T18:05,0.00,0.00,0.00,0.0,6.5,16.9,82,17.68,3.66
2010-01-12,1,31.2,21.0,26.4,33.4,24.4,29.4,2010-01-12T06:49,2010-01-12T18:05,0.00,0.00,0.00,0.0,11.2,29.9,122,17.00,3.91
2010-01-13,2,29.3,21.6,25.2,30.7,20.4,25.7,2010-01-13T06:49,2010-01-13T18:06,0.00,0.00,0.00,0.0,17.6,37.1,111,18.54,4.78
2010-01-14,1,28.4,21.3,24.4,29.6,20.4,25.0,2010-01-14T06:49,2010-01-14T18:06,0.00,0.00,0.00,0.0,15.5,35.3,107,18.46,4.41
2010-01-15,1,29.9,20.5,25.0,32.5,22.3,26.8,2010-01-15T06:49,2010-01-15T18:07,0.00,0.00,0.00,0.0,7.7,22.3,56,19.74,4.25
2010-01-16,3,29.9,20.7,25.6,31.4,23.3,27.4,2010-01-16T06:50,2010-01-16T18:08,0.00,0.00,0.00,0.0,14.6,33.8,75,15.26,3.77
2010-01-17,1,29.5,21.4,25.2,30.9,21.5,26.0,2010-01-17T06:50,2010-01-17T18:08,0.00,0.00,0.00,0.0,12.0,29.9,74,19.12,4.66
2010-01-18,1,28.4,19.5,24.0,29.4,19.4,24.3,2010-01-18T06:50,2010-01-18T18:09,0.00,0.00,0.00,0.0,11.2,29.2,64,19.89,4.64
2010-01-19,1,29.3,19.0,23.9,30.3,20.1,24.8,2010-01-19T06:50,2010-01-19T18:09,0.00,0.00,0.00,0.0,10.0,25.2,21,20.35,4.44
2010-01-20,3,29.8,20.1,24.9,30.8,20.8,26.0,2010-01-20T06:50,2010-01-20T18:10,0.00,0.00,0.00,0.0,8.4,17.3,358,10.65,2.91
2010-01-21,51,28.8,21.8,25.3,31.4,24.4,28.2,2010-01-21T06:50,2010-01-21T18:10,0.50,0.50,0.00,3.0,8.8,19.4,99,7.70,1.95
2010-01-22,51,29.0,23.1,25.3,32.3,27.4,29.3,2010-01-22T06:50,2010-01-22T18:11,1.20,1.20,0.00,5.0,10.0,22.0,93,8.42,2.01
2010-01-23,61,30.2,22.5,25.7,35.0,26.7,30.1,2010-01-23T06:50,2010-01-23T18:12,2.50,2.50,0.00,7.0,6.6,22.0,111,12.02,2.60
2010-01-24,53,31.0,23.2,26.1,35.8,27.3,30.3,2010-01-24T06:50,2010-01-24T18:12,4.30,4.30,0.00,13.0,10.3,23.4,110,14.19,3.13
2010-01-25,51,31.5,22.7,26.9,35.6,26.6,30.7,2010-01-25T06:50,2010-01-25T18:13,0.90,0.90,0.00,3.0,7.1,23.8,94,17.27,3.81
2010-01-26,3,30.8,23.8,26.8,33.0,24.3,28.7,2010-01-26T06:50,2010-01-26T18:13,0.00,0.00,0.00,0.0,17.8,36.7,98,17.61,4.44
2010-01-27,2,31.4,23.3,27.3,35.7,26.4,30.3,2010-01-27T06:50,2010-01-27T18:14,0.00,0.00,0.00,0.0,9.2,24.8,94,18.97,4.21
2010-01-28,0,32.5,22.5,27.6,37.4,25.9,31.3,2010-01-28T06:49,2010-01-28T18:14,0.00,0.00,0.00,0.0,6.1,18.0,82,19.22,4.00
2010-01-29,51,32.5,23.4,28.0,36.9,27.8,32.3,2010-01-29T06:49,2010-01-29T18:15,0.20,0.20,0.00,1.0,6.8,14.8,87,17.61,3.80
2010-01-30,51,32.6,23.8,27.9,38.1,28.2,32.2,2010-01-30T06:49,2010-01-30T18:15,0.10,0.10,0.00,1.0,6.6,19.4,189,17.60,3.93
2010-01-31,1,32.9,23.8,28.2,37.6,27.9,32.4,2010-01-31T06:49,2010-01-31T18:16,0.00,0.00,0.00,0.0,7.6,20.9,180,18.35,4.03
2010-02-01,1,33.4,23.0,28.5,38.4,27.0,32.8,2010-02-01T06:49,2010-02-01T18:16,0.00,0.00,0.00,0.0,5.5,15.8,241,19.18,4.12
2010-02-02,51,33.1,25.1,28.6,37.8,29.1,33.0,2010-02-02T06:48,2010-02-02T18:17,0.40,0.40,0.00,2.0,8.0,22.7,184,17.70,4.04
2010-02-03,51,33.4,24.6,28.6,39.8,29.3,33.5,2010-02-03T06:48,2010-02-03T18:17,0.40,0.40,0.00,2.0,10.5,19.4,186,18.70,4.15
2010-02-04,51,33.2,24.7,28.8,38.8,28.6,33.3,2010-02-04T06:48,2010-02-04T18:18,0.40,0.40,0.00,1.0,8.3,21.6,196,18.42,4.12
2010-02-05,53,34.0,25.2,29.0,40.0,29.1,33.4,2010-02-05T06:48,2010-02-05T18:18,1.40,1.40,0.00,4.0,7.6,23.0,180,18.69,4.32
2010-02-06,53,33.7,25.1,28.7,38.8,29.4,33.0,2010-02-06T06:47,2010-02-06T18:18,1.00,1.00,0.00,2.0,12.8,30.6,168,17.86,4.14
2010-02-07,51,33.3,25.1,28.8,38.6,28.6,33.0,2010-02-07T06:47,2010-02-07T18:19,0.10,0.10,0.00,1.0,12.1,27.7,173,18.80,4.41
2010-02-08,1,33.7,24.3,28.8,38.2,27.9,32.8,2010-02-08T06:47,2010-02-08T18:19,0.00,0.00,0.00,0.0,9.1,23.4,183,19.62,4.52
2010-02-09,1,33.4,24.4,29.0,37.6,27.7,32.5,2010-02-09T06:46,2010-02-09T18:20,0.00,0.00,0.00,0.0,11.2,21.6,186,19.40,4.70
2010-02-10,1,34.7,24.4,29.6,39.0,27.6,32.8,2010-02-10T06:46,2010-02-10T18:20,0.00,0.00,0.00,0.0,9.0,21.6,186,21.05,5.19
2010-02-11,1,34.9,24.7,29.7,39.8,28.0,33.4,2010-02-11T06:46,2010-02-11T18:21,0.00,0.00,0.00,0.0,10.4,22.3,186,21.43,4.97
2010-02-12,1,34.8,24.3,29.6,39.2,27.4,33.4,2010-02-12T06:45,2010-02-12T18:21,0.00,0.00,0.00,0.0,8.5,19.8,156,19.58,4.52
2010-02-13,1,35.0,25.0,29.9,38.7,28.6,33.4,2010-02-13T06:45,2010-02-13T18:21,0.00,0.00,0.00,0.0,9.8,23.4,181,20.03,5.17
2010-02-14,2,35.1,24.8,29.8,38.3,28.6,32.7,2010-02-14T06:45,2010-02-14T18:22,0.00,0.00,0.00,0.0,16.3,29.5,182,20.08,5.20
2010-02-15,2,35.0,24.7,29.9,38.8,28.4,33.2,2010-02-15T06:44,2010-02-15T18:22,0.00,0.00,0.00,0.0,14.5,25.6,181,20.59,5.20
2010-02-16,1,34.8,25.0,30.0,38.8,28.8,33.4,2010-02-16T06:44,2010-02-16T18:22,0.00,0.00,0.00,0.0,10.9,25.2,180,19.72,5.17
2010-02-17,1,34.7,25.6,29.8,39.0,29.0,33.1,2010-02-17T06:43,2010-02-17T18:23,0.00,0.00,0.00,0.0,14.6,29.5,157,19.79,5.37
2010-02-18,1,33.6,25.5,29.4,37.8,28.5,32.4,2010-02-18T06:43,2010-02-18T18:23,0.00,0.00,0.00,0.0,17.0,36.7,149,20.38,5.30
2010-02-19,51,33.0,24.5,28.5,36.7,26.2,31.0,2010-02-19T06:42,2010-02-19T18:23,0.50,0.50,0.00,2.0,17.7,38.5,129,19.43,5.12
2010-02-20,2,33.5,24.3,28.6,37.6,24.4,31.0,2010-02-20T06:42,2010-02-20T18:24,0.00,0.00,0.00,0.0,14.2,29.5,140,19.68,5.19
2010-02-21,3,34.6,24.4,29.2,37.3,28.6,32.1,2010-02-21T06:41,2010-02-21T18:24,0.00,0.00,0.00,0.0,14.2,28.1,185,20.44,5.01
2010-02-22,3,34.3,23.2,28.7,37.6,27.3,31.6,2010-02-22T06:41,2010-02-22T18:24,0.00,0.00,0.00,0.0,14.5,26.3,192,22.07,5.23
2010-02-23,51,33.9,23.7,28.7,37.8,27.2,31.6,2010-02-23T06:40,2010-02-23T18:25,0.10,0.10,0.00,1.0,15.5,28.8,182,19.08,5.14
2010-02-24,0,35.2,23.0,29.5,36.6,26.4,31.4,2010-02-24T06:39,2010-02-24T18:25,0.00,0.00,0.00,0.0,15.9,30.2,209,21.46,5.89
2010-02-25,0,34.5,21.6,28.3,36.8,24.5,29.8,2010-02-25T06:39,2010-02-25T18:25,0.00,0.00,0.00,0.0,9.0,19.8,227,23.97,5.69
2010-02-26,1,35.1,20.6,28.3,38.4,22.3,30.3,2010-02-26T06:38,2010-02-26T18:25,0.00,0.00,0.00,0.0,6.3,19.1,226,23.57,5.30
2010-02-27,0,35.8,23.2,29.3,39.4,24.5,31.4,2010-02-27T06:38,2010-02-27T18:26,0.00,0.00,0.00,0.0,14.0,25.6,177,23.14,6.04
2010-02-28,3,36.3,25.3,30.2,39.3,28.4,33.2,2010-02-28T06:37,2010-02-28T18:26,0.00,0.00,0.00,0.0,17.3,32.0,183,20.42,5.82
2010-03-01,2,35.7,24.9,30.0,39.6,29.7,33.6,2010-03-01T06:36,2010-03-01T18:26,0.00,0.00,0.00,0.0,16.0,27.0,187,22.40,5.74
2010-03-02,1,36.4,25.0,30.5,39.6,29.5,33.9,2010-03-02T06:36,2010-03-02T18:26,0.00,0.00,0.00,0.0,13.8,24.8,190,23.42,5.69
2010-03-03,3,36.9,23.5,30.1,38.8,28.1,32.6,2010-03-03T06:35,2010-03-03T18:27,0.00,0.00,0.00,0.0,15.2,24.8,192,24.66,6.34
2010-03-04,3,36.4,22.3,29.6,38.5,26.5,31.9,2010-03-04T06:35,2010-03-04T18:27,0.00,0.00,0.00,0.0,15.3,25.6,194,24.61,6.23
2010-03-05,1,36.4,21.6,29.4,39.0,24.9,31.3,2010-03-05T06:34,2010-03-05T18:27,0.00,0.00,0.00,0.0,13.0,24.1,191,24.61,6.13
2010-03-06,1,36.6,22.6,30.0,40.2,24.5,31.9,2010-03-06T06:33,2010-03-06T18:27,0.00,0.00,0.00,0.0,10.8,19.4,198,24.44,5.95
2010-03-07,0,37.2,24.8,31.1,42.0,27.1,33.6,2010-03-07T06:33,2010-03-07T18:28,0.00,0.00,0.00,0.0,13.0,19.8,186,24.20,6.29
2010-03-08,1,37.5,25.9,31.7,42.4,29.1,34.6,2010-03-08T06:32,2010-03-08T18:28,0.00,0.00,0.00,0.0,16.6,31.0,180,23.32,6.84
2010-03-09,1,36.3,25.9,31.2,41.4,28.3,34.1,2010-03-09T06:31,2010-03-09T18:28,0.00,0.00,0.00,0.0,16.3,29.2,172,21.56,6.23
2010-03-10,3,30.0,22.4,26.6,31.9,19.9,25.2,2010-03-10T06:31,2010-03-10T18:28,0.00,0.00,0.00,0.0,27.1,51.5,107,14.84,6.00
2010-03-11,3,32.6,23.3,27.5,34.6,22.3,27.9,2010-03-11T06:30,2010-03-11T18:28,0.00,0.00,0.00,0.0,14.0,30.2,111,22.20,6.07
2010-03-12,1,36.0,23.0,29.6,40.0,24.0,31.6,2010-03-12T06:29,2010-03-12T18:28,0.00,0.00,0.00,0.0,11.6,21.6,161,24.55,6.28
2010-03-13,1,37.2,26.3,31.8,40.5,28.2,33.7,2010-03-13T06:28,2010-03-13T18:29,0.00,0.00,0.00,0.0,15.5,28.1,186,24.62,7.17
2010-03-14,0,37.8,25.6,31.7,39.9,28.4,33.2,2010-03-14T06:28,2010-03-14T18:29,0.00,0.00,0.00,0.0,16.3,31.3,184,25.00,7.59
2010-03-15,2,37.3,25.1,31.3,41.0,28.8,34.2,2010-03-15T06:27,2010-03-15T18:29,0.00,0.00,0.00,0.0,16.3,30.2,186,24.35,6.25
2010-03-16,1,37.4,26.1,31.8,41.5,28.5,34.7,2010-03-16T06:26,2010-03-16T18:29,0.00,0.00,0.00,0.0,10.3,23.4,172,22.78,5.95
