latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.200005,102.399994,219.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,29.1,21.6,25.1,32.1,24.3,28.2,2010-01-01T06:40,2010-01-01T17:47,0.10,0.10,0.00,1.0,8.3,20.9,91,13.91,2.95
2010-01-02,51,30.0,22.2,25.7,34.0,25.0,29.0,2010-01-02T06:40,2010-01-02T17:47,0.20,0.20,0.00,2.0,6.8,23.8,57,13.94,2.92
2010-01-03,51,29.6,21.8,25.3,32.5,25.2,28.5,2010-01-03T06:40,2010-01-03T17:48,0.30,0.30,0.00,2.0,9.5,23.0,66,12.95,2.82
2010-01-04,2,29.7,20.6,25.4,33.3,23.5,28.6,2010-01-04T06:41,2010-01-04T17:49,0.00,0.00,0.00,0.0,6.9,17.6,83,15.89,3.29
2010-01-05,2,31.0,21.8,26.4,34.1,25.4,29.7,2010-01-05T06:41,2010-01-05T17:49,0.00,0.00,0.00,0.0,8.1,20.2,119,15.03,3.29
2010-01-06,53,31.3,22.4,26.2,35.5,26.0,29.9,2010-01-06T06:41,2010-01-06T17:50,2.20,2.20,0.00,7.0,7.2,22.0,75,14.61,3.15
2010-01-07,61,23.9,20.2,22.1,27.0,22.8,24.5,2010-01-07T06:41,2010-01-07T17:50,9.50,9.50,0.00,17.0,11.3,23.4,67,3.61,1.13
2010-01-08,63,23.5,19.9,21.4,25.7,22.8,24.1,2010-01-08T06:42,2010-01-08T17:51,11.50,11.50,0.00,12.0,8.9,18.7,93,4.79,1.12
2010-01-09,3,26.4,19.1,22.6,28.7,22.0,25.3,2010-01-09T06:42,2010-01-09T17:52,0.00,0.00,0.00,0.0,7.0,16.6,201,12.59,2.52
2010-01-10,2,29.6,18.4,23.7,33.2,20.1,26.1,2010-01-10T06:42,2010-01-10T17:52,0.00,0.00,0.00,0.0,7.6,19.4,231,18.23,3.72
2010-01-11,1,30.0,18.9,24.6,32.9,21.1,27.0,2010-01-11T06:42,2010-01-11T17:53,0.00,0.00,0.00,0.0,9.4,18.7,91,16.55,3.51
2010-01-12,2,26.7,19.1,22.3,27.9,18.5,22.7,2010-01-12T06:42,2010-01-12T17:53,0.00,0.00,0.00,0.0,15.5,31.0,83,15.92,3.69
2010-01-13,1,24.6,15.2,19.9,24.8,14.2,19.3,2010-01-13T06:42,2010-01-13T17:54,0.00,0.00,0.00,0.0,13.4,28.1,81,18.41,3.88
2010-01-14,1,24.9,15.5,20.0,25.6,14.7,19.7,2010-01-14T06:43,2010-01-14T17:55,0.00,0.00,0.00,0.0,11.9,23.0,76,18.72,3.83
2010-01-15,1,26.9,15.6,21.3,28.9,16.0,22.2,2010-01-15T06:43,2010-01-15T17:55,0.00,0.00,0.00,0.0,8.0,21.6,63,19.13,3.75
2010-01-16,3,27.0,18.4,22.3,26.6,19.1,22.6,2010-01-16T06:43,2010-01-16T17:56,0.00,0.00,0.00,0.0,17.0,37.4,81,13.67,3.43
2010-01-17,3,26.4,17.3,21.8,26.9,18.0,21.7,2010-01-17T06:43,2010-01-17T17:56,0.00,0.00,0.00,0.0,13.7,28.1,67,19.28,4.25
