latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.900002,102.70001,170.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,3,29.0,21.4,24.7,31.3,23.7,27.3,2010-01-01T06:40,2010-01-01T17:44,0.00,0.00,0.00,0.0,9.8,22.0,98,11.66,2.64
2010-01-02,51,28.7,22.1,24.8,32.0,25.1,28.0,2010-01-02T06:40,2010-01-02T17:45,0.90,0.90,0.00,6.0,7.2,19.8,74,10.69,2.28
2010-01-03,51,29.1,21.1,24.8,32.1,24.6,28.0,2010-01-03T06:40,2010-01-03T17:46,0.50,0.50,0.00,4.0,9.4,23.4,81,14.38,3.02
2010-01-04,2,29.3,20.7,24.8,32.4,23.4,27.7,2010-01-04T06:41,2010-01-04T17:46,0.00,0.00,0.00,0.0,8.3,18.7,102,15.54,3.20
2010-01-05,51,30.5,21.2,25.6,33.8,24.2,28.9,2010-01-05T06:41,2010-01-05T17:47,0.20,0.20,0.00,1.0,7.1,21.2,93,15.16,3.26
2010-01-06,51,30.8,22.0,26.0,34.2,25.3,29.5,2010-01-06T06:41,2010-01-06T17:47,0.60,0.60,0.00,5.0,10.3,20.5,78,15.02,3.22
2010-01-07,61,23.6,20.4,22.0,26.4,23.3,24.4,2010-01-07T06:41,2010-01-07T17:48,11.70,11.70,0.00,15.0,11.6,21.6,92,3.73,1.14
2010-01-08,55,24.4,19.9,21.7,26.0,22.6,24.1,2010-01-08T06:42,2010-01-08T17:48,3.00,3.00,0.00,5.0,7.7,20.5,103,7.39,1.67
2010-01-09,3,26.4,20.1,23.0,28.3,22.1,25.4,2010-01-09T06:42,2010-01-09T17:49,0.00,0.00,0.00,0.0,7.6,16.9,156,13.34,2.72
2010-01-10,3,28.5,19.8,23.6,31.4,23.0,26.5,2010-01-10T06:42,2010-01-10T17:50,0.00,0.00,0.00,0.0,8.3,22.0,310,15.13,3.07
2010-01-11,2,29.5,18.1,24.0,31.6,20.0,26.3,2010-01-11T06:42,2010-01-11T17:50,0.00,0.00,0.00,0.0,7.9,23.0,84,16.65,3.50
2010-01-12,1,26.0,18.1,21.8,25.3,16.1,21.4,2010-01-12T06:42,2010-01-12T17:51,0.00,0.00,0.00,0.0,15.8,37.1,94,16.17,3.98
2010-01-13,1,24.3,15.1,19.4,24.0,13.6,18.3,2010-01-13T06:42,2010-01-13T17:52,0.00,0.00,0.00,0.0,14.8,28.4,101,16.78,3.80
2010-01-14,1,24.6,15.1,19.5,24.9,13.8,19.0,2010-01-14T06:43,2010-01-14T17:52,0.00,0.00,0.00,0.0,13.7,27.7,99,17.53,3.60
2010-01-15,1,26.6,15.2,21.1,28.9,15.7,22.3,2010-01-15T06:43,2010-01-15T17:53,0.00,0.00,0.00,0.0,6.9,16.2,102,18.62,3.52
2010-01-16,3,27.2,18.5,22.4,28.1,19.4,22.8,2010-01-16T06:43,2010-01-16T17:54,0.00,0.00,0.00,0.0,18.5,36.7,94,14.71,3.62
2010-01-17,3,26.4,17.8,22.0,27.1,18.3,21.9,2010-01-17T06:43,2010-01-17T17:54,0.00,0.00,0.00,0.0,17.6,35.6,93,17.20,3.99
2010-01-18,1,26.0,15.9,20.6,26.8,16.0,21.0,2010-01-18T06:43,2010-01-18T17:55,0.00,0.00,0.00,0.0,12.1,27.0,95,18.75,3.53
2010-01-19,1,27.4,15.5,21.5,29.0,16.0,22.3,2010-01-19T06:43,2010-01-19T17:55,0.00,0.00,0.00,0.0,8.7,20.2,83,19.12,3.82
2010-01-20,55,28.9,19.5,22.4,30.7,21.0,24.2,2010-01-20T06:43,2010-01-20T17:56,3.70,3.70,0.00,10.0,9.8,24.1,69,10.73,2.35
2010-01-21,61,22.5,20.7,21.5,26.6,23.6,25.1,2010-01-21T06:43,2010-01-21T17:57,18.20,18.20,0.00,22.0,5.1,21.6,1,2.21,0.58
2010-01-22,61,22.4,20.9,21.6,27.2,23.8,25.2,2010-01-22T06:43,2010-01-22T17:57,22.60,22.60,0.00,21.0,8.5,25.9,70,2.10,0.52
2010-01-23,63,22.7,20.2,21.5,25.5,22.3,24.6,2010-01-23T06:43,2010-01-23T17:58,18.20,18.20,0.00,20.0,9.1,22.7,69,3.46,0.80
2010-01-24,51,25.1,19.4,21.8,28.0,21.1,23.9,2010-01-24T06:43,2010-01-24T17:58,0.90,0.90,0.00,4.0,8.3,17.3,98,12.27,2.40
2010-01-25,3,27.1,18.1,22.8,30.4,20.6,25.3,2010-01-25T06:43,2010-01-25T17:59,0.00,0.00,0.00,0.0,17.3,33.1,81,14.70,3.12
2010-01-26,2,26.2,17.8,22.1,28.9,18.1,23.3,2010-01-26T06:42,2010-01-26T18:00,0.00,0.00,0.00,0.0,14.4,29.5,100,18.26,3.73
2010-01-27,1,26.4,18.1,22.6,29.7,19.2,24.6,2010-01-27T06:42,2010-01-27T18:00,0.00,0.00,0.00,0.0,11.5,22.7,96,18.25,3.51
2010-01-28,2,29.2,18.3,23.7,33.5,20.5,26.9,2010-01-28T06:42,2010-01-28T18:01,0.00,0.00,0.00,0.0,5.8,16.6,339,19.89,3.85
2010-01-29,2,29.5,19.0,24.4,34.0,21.7,28.0,2010-01-29T06:42,2010-01-29T18:01,0.00,0.00,0.00,0.0,7.4,19.8,79,18.31,3.63
2010-01-30,1,30.1,19.7,24.9,34.0,22.8,28.4,2010-01-30T06:42,2010-01-30T18:02,0.00,0.00,0.00,0.0,7.6,18.0,72,18.41,3.74
2010-01-31,1,31.2,21.0,25.7,34.7,24.0,29.1,2010-01-31T06:41,2010-01-31T18:02,0.00,0.00,0.00,0.0,7.2,19.4,353,19.12,4.01
2010-02-01,3,31.3,20.0,25.3,35.4,23.0,28.6,2010-02-01T06:41,2010-02-01T18:03,0.00,0.00,0.00,0.0,6.4,18.7,347,20.26,4.10
2010-02-02,0,31.7,21.5,26.3,35.2,24.7,29.6,2010-02-02T06:41,2010-02-02T18:03,0.00,0.00,0.00,0.0,7.1,20.9,334,20.01,4.21
2010-02-03,0,31.7,20.5,25.9,36.1,23.4,29.3,2010-02-03T06:41,2010-02-03T18:04,0.00,0.00,0.00,0.0,7.3,17.3,7,19.94,4.11
2010-02-04,1,31.1,21.0,26.4,36.0,24.2,30.2,2010-02-04T06:40,2010-02-04T18:04,0.00,0.00,0.00,0.0,6.8,20.2,53,18.33,3.79
2010-02-05,51,31.1,22.4,26.4,36.8,26.3,30.9,2010-02-05T06:40,2010-02-05T18:05,0.30,0.30,0.00,1.0,7.1,23.0,99,18.34,3.76
2010-02-06,51,31.0,22.1,26.1,36.6,26.2,30.6,2010-02-06T06:40,2010-02-06T18:05,0.20,0.20,0.00,1.0,7.9,24.5,115,18.75,3.83
2010-02-07,51,30.9,21.7,25.8,35.4,26.1,29.7,2010-02-07T06:39,2010-02-07T18:06,0.20,0.20,0.00,1.0,8.9,19.8,136,18.49,3.82
2010-02-08,1,31.0,21.3,26.1,36.2,24.7,30.0,2010-02-08T06:39,2010-02-08T18:06,0.00,0.00,0.00,0.0,6.4,24.8,127,18.66,3.95
2010-02-09,3,32.1,21.2,26.8,35.5,25.2,30.4,2010-02-09T06:38,2010-02-09T18:07,0.00,0.00,0.00,0.0,10.1,25.6,224,19.31,4.37
2010-02-10,0,33.2,22.6,27.6,35.8,26.3,30.6,2010-02-10T06:38,2010-02-10T18:07,0.00,0.00,0.00,0.0,11.4,27.7,261,20.81,4.77
