latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.400002,101.20001,120.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,30.5,20.8,25.5,34.9,24.4,29.8,2010-01-01T06:43,2010-01-01T17:53,0.20,0.20,0.00,2.0,5.4,20.5,89,15.11,3.14
2010-01-02,51,31.0,21.9,26.0,34.8,25.7,30.4,2010-01-02T06:44,2010-01-02T17:54,0.70,0.70,0.00,5.0,5.4,18.4,16,14.08,3.00
2010-01-03,51,31.2,22.3,26.3,35.6,25.9,30.6,2010-01-03T06:44,2010-01-03T17:55,0.20,0.20,0.00,2.0,6.5,19.1,37,14.24,2.93
2010-01-04,1,31.8,21.2,26.5,35.5,24.6,30.3,2010-01-04T06:44,2010-01-04T17:55,0.00,0.00,0.00,0.0,6.9,23.0,10,16.54,3.63
2010-01-05,51,31.5,23.3,26.9,36.0,27.2,31.0,2010-01-05T06:45,2010-01-05T17:56,0.30,0.30,0.00,2.0,4.3,22.0,104,16.43,3.43
2010-01-06,63,31.5,21.9,26.1,35.8,25.7,30.6,2010-01-06T06:45,2010-01-06T17:56,11.40,11.40,0.00,4.0,5.2,27.0,311,13.63,2.85
2010-01-07,61,26.6,22.4,24.0,31.8,27.2,29.1,2010-01-07T06:45,2010-01-07T17:57,7.50,7.50,0.00,17.0,5.3,23.8,63,8.03,1.60
2010-01-08,61,22.9,20.6,22.2,27.4,24.1,26.2,2010-01-08T06:45,2010-01-08T17:57,14.50,14.50,0.00,13.0,6.4,18.0,76,4.20,0.86
2010-01-09,51,27.2,18.8,22.9,31.3,21.3,26.4,2010-01-09T06:46,2010-01-09T17:58,0.10,0.10,0.00,1.0,6.0,16.9,43,13.26,2.58
2010-01-10,2,30.0,18.9,24.5,34.5,21.4,28.1,2010-01-10T06:46,2010-01-10T17:59,0.00,0.00,0.00,0.0,7.6,18.4,329,18.56,3.78
