latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.800003,100.30002,48.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,30.9,22.0,26.5,35.2,25.4,30.5,2010-01-01T06:48,2010-01-01T17:56,0.40,0.40,0.00,3.0,7.0,25.6,133,14.07,3.09
2010-01-02,51,31.7,23.7,27.2,35.8,27.8,31.5,2010-01-02T06:48,2010-01-02T17:57,0.60,0.60,0.00,5.0,7.1,26.3,135,14.07,3.11
2010-01-03,51,31.8,22.0,27.0,36.5,25.8,31.0,2010-01-03T06:48,2010-01-03T17:57,0.10,0.10,0.00,1.0,5.8,19.4,70,16.30,3.39
2010-01-04,51,31.9,21.6,26.8,35.6,25.0,30.2,2010-01-04T06:49,2010-01-04T17:58,0.10,0.10,0.00,1.0,6.3,24.5,105,15.63,3.47
2010-01-05,2,31.7,23.1,27.2,36.3,26.2,30.8,2010-01-05T06:49,2010-01-05T17:59,0.00,0.00,0.00,0.0,8.4,24.5,112,15.10,3.30
2010-01-06,2,30.7,23.0,26.8,34.3,26.5,30.8,2010-01-06T06:49,2010-01-06T17:59,0.00,0.00,0.00,0.0,10.8,26.3,157,13.10,2.97
2010-01-07,61,27.1,23.3,25.0,31.6,28.4,29.8,2010-01-07T06:49,2010-01-07T18:00,19.80,19.80,0.00,16.0,7.5,25.6,138,6.51,1.43
2010-01-08,61,27.1,22.8,24.2,30.9,26.8,28.8,2010-01-08T06:50,2010-01-08T18:00,11.40,11.40,0.00,16.0,8.3,22.3,139,7.84,1.63
2010-01-09,51,27.8,21.2,24.2,31.1,25.2,28.0,2010-01-09T06:50,2010-01-09T18:01,0.20,0.20,0.00,2.0,6.8,19.1,182,12.02,2.47
2010-01-10,2,29.6,19.5,24.4,34.1,22.0,27.8,2010-01-10T06:50,2010-01-10T18:02,0.00,0.00,0.00,0.0,7.0,16.9,102,17.41,3.49
2010-01-11,1,30.5,17.7,24.6,34.3,19.3,27.4,2010-01-11T06:50,2010-01-11T18:02,0.00,0.00,0.00,0.0,6.8,15.8,123,18.03,3.73
2010-01-12,1,30.5,19.3,25.0,32.6,21.8,27.5,2010-01-12T06:50,2010-01-12T18:03,0.00,0.00,0.00,0.0,11.3,27.4,134,15.53,3.56
2010-01-13,2,29.4,21.0,25.0,32.4,22.8,27.1,2010-01-13T06:51,2010-01-13T18:03,0.00,0.00,0.00,0.0,8.0,20.2,167,15.84,3.52
2010-01-14,3,28.6,21.0,24.6,31.0,22.9,26.6,2010-01-14T06:51,2010-01-14T18:04,0.00,0.00,0.00,0.0,7.7,17.6,185,16.13,3.37
2010-01-15,1,29.4,19.1,24.4,32.4,21.0,26.8,2010-01-15T06:51,2010-01-15T18:05,0.00,0.00,0.00,0.0,7.4,15.5,337,18.45,3.73
2010-01-16,3,29.8,19.4,24.7,31.8,21.7,27.0,2010-01-16T06:51,2010-01-16T18:05,0.00,0.00,0.00,0.0,6.2,22.0,91,15.77,3.35
2010-01-17,2,29.0,20.7,24.4,31.1,22.7,26.2,2010-01-17T06:51,2010-01-17T18:06,0.00,0.00,0.00,0.0,7.0,19.1,23,16.58,3.56
2010-01-18,2,28.4,19.5,23.5,30.5,20.9,24.9,2010-01-18T06:51,2010-01-18T18:06,0.00,0.00,0.00,0.0,7.3,18.7,337,18.56,3.81
2010-01-19,1,28.9,15.4,22.6,30.0,15.8,23.3,2010-01-19T06:51,2010-01-19T18:07,0.00,0.00,0.00,0.0,8.0,20.5,1,20.04,4.16
2010-01-20,2,30.3,18.0,24.5,32.0,19.3,26.1,2010-01-20T06:51,2010-01-20T18:08,0.00,0.00,0.00,0.0,7.6,17.6,3,13.56,3.05
2010-01-21,3,29.5,21.9,25.5,32.4,24.8,28.7,2010-01-21T06:51,2010-01-21T18:08,0.00,0.00,0.00,0.0,9.3,19.8,103,10.57,2.34
2010-01-22,51,28.4,22.7,24.8,32.7,26.8,29.2,2010-01-22T06:51,2010-01-22T18:09,1.20,1.20,0.00,6.0,6.6,20.9,139,9.34,2.04
2010-01-23,51,29.8,21.3,25.4,34.4,25.0,29.5,2010-01-23T06:51,2010-01-23T18:09,0.60,0.60,0.00,3.0,6.4,20.9,134,14.89,3.12
2010-01-24,53,30.7,22.7,25.5,34.4,26.7,29.6,2010-01-24T06:51,2010-01-24T18:10,3.20,3.20,0.00,10.0,5.9,19.1,134,10.42,2.30
2010-01-25,53,31.0,22.0,26.2,35.7,26.0,30.5,2010-01-25T06:51,2010-01-25T18:11,2.30,2.30,0.00,8.0,6.0,18.4,96,16.15,3.36
2010-01-26,2,30.7,23.0,26.5,34.0,26.7,29.8,2010-01-26T06:51,2010-01-26T18:11,0.00,0.00,0.00,0.0,6.6,18.4,134,16.38,3.59
2010-01-27,1,31.0,22.4,26.6,34.7,25.9,30.0,2010-01-27T06:51,2010-01-27T18:12,0.00,0.00,0.00,0.0,6.5,15.5,112,17.68,3.71
2010-01-28,0,32.0,21.3,26.7,36.3,24.6,30.2,2010-01-28T06:51,2010-01-28T18:12,0.00,0.00,0.00,0.0,6.9,16.9,135,18.68,3.95
2010-01-29,1,32.2,22.3,27.3,36.5,25.7,30.7,2010-01-29T06:50,2010-01-29T18:13,0.00,0.00,0.00,0.0,6.6,22.7,124,18.27,3.99
2010-01-30,51,32.1,21.1,26.9,37.2,24.3,30.6,2010-01-30T06:50,2010-01-30T18:13,0.10,0.10,0.00,1.0,5.8,21.6,96,17.87,3.83
2010-01-31,1,33.3,21.0,27.0,37.0,24.0,29.9,2010-01-31T06:50,2010-01-31T18:14,0.00,0.00,0.00,0.0,5.8,20.5,102,19.20,4.24
2010-02-01,0,33.8,20.7,27.4,37.1,21.7,29.4,2010-02-01T06:50,2010-02-01T18:14,0.00,0.00,0.00,0.0,7.0,16.9,86,20.87,4.50
