latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.099998,103.70001,144.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,31.4,21.1,26.2,35.1,22.4,28.4,2010-01-01T06:33,2010-01-01T17:44,0.00,0.00,0.00,0.0,13.8,29.5,78,16.40,3.81
2010-01-02,1,32.5,21.5,27.0,36.0,22.9,29.3,2010-01-02T06:33,2010-01-02T17:45,0.00,0.00,0.00,0.0,11.8,26.6,77,17.73,4.10
2010-01-03,2,30.6,22.3,26.6,32.8,24.1,28.3,2010-01-03T06:33,2010-01-03T17:45,0.00,0.00,0.00,0.0,14.2,33.1,62,14.90,4.02
2010-01-04,2,30.9,20.8,26.1,34.5,22.7,28.6,2010-01-04T06:34,2010-01-04T17:46,0.00,0.00,0.00,0.0,11.4,23.0,78,16.78,3.79
2010-01-05,2,32.0,21.9,27.1,34.8,24.6,29.9,2010-01-05T06:34,2010-01-05T17:46,0.00,0.00,0.00,0.0,6.9,21.6,124,15.84,3.62
2010-01-06,1,32.2,21.5,27.2,34.2,24.0,29.6,2010-01-06T06:34,2010-01-06T17:47,0.00,0.00,0.00,0.0,14.7,29.9,93,15.49,3.88
2010-01-07,51,30.5,22.2,25.8,33.3,23.0,27.2,2010-01-07T06:34,2010-01-07T17:48,0.40,0.40,0.00,2.0,17.6,34.2,60,13.20,3.78
2010-01-08,55,23.1,19.6,21.2,24.0,20.3,22.3,2010-01-08T06:35,2010-01-08T17:48,7.30,7.30,0.00,12.0,14.8,28.4,52,4.35,1.38
2010-01-09,2,29.2,17.5,23.0,32.0,17.6,24.2,2010-01-09T06:35,2010-01-09T17:49,0.00,0.00,0.00,0.0,10.3,24.8,32,17.67,3.78
2010-01-10,1,31.2,18.3,24.7,34.2,20.2,26.8,2010-01-10T06:35,2010-01-10T17:49,0.00,0.00,0.00,0.0,5.9,16.6,36,19.70,3.99
2010-01-11,1,31.8,19.5,25.6,33.9,20.6,27.0,2010-01-11T06:35,2010-01-11T17:50,0.00,0.00,0.00,0.0,12.1,28.1,60,18.63,4.05
2010-01-12,1,29.3,17.5,23.1,29.0,14.9,21.8,2010-01-12T06:35,2010-01-12T17:50,0.00,0.00,0.00,0.0,21.5,46.8,73,17.65,5.22
2010-01-13,1,27.2,15.4,20.5,26.8,12.9,18.6,2010-01-13T06:36,2010-01-13T17:51,0.00,0.00,0.00,0.0,22.2,41.8,65,19.64,5.01
2010-01-14,1,27.4,15.9,21.1,27.0,13.7,19.7,2010-01-14T06:36,2010-01-14T17:52,0.00,0.00,0.00,0.0,19.7,41.4,63,19.65,4.80
2010-01-15,1,29.1,16.7,22.6,30.1,16.4,22.8,2010-01-15T06:36,2010-01-15T17:52,0.00,0.00,0.00,0.0,15.0,29.9,49,19.42,4.47
2010-01-16,3,26.9,19.4,22.7,25.2,18.2,21.7,2010-01-16T06:36,2010-01-16T17:53,0.00,0.00,0.00,0.0,27.1,53.6,54,13.63,4.26
2010-01-17,3,28.1,17.0,21.6,27.0,15.5,20.0,2010-01-17T06:36,2010-01-17T17:53,0.00,0.00,0.00,0.0,23.0,44.3,54,18.38,4.97
2010-01-18,1,27.9,16.5,21.7,27.5,15.2,20.6,2010-01-18T06:36,2010-01-18T17:54,0.00,0.00,0.00,0.0,19.7,42.5,52,20.05,4.90
2010-01-19,2,28.7,16.8,22.9,29.4,16.6,23.0,2010-01-19T06:36,2010-01-19T17:55,0.00,0.00,0.00,0.0,15.3,31.0,48,16.93,4.12
2010-01-20,63,26.5,20.3,22.6,28.0,21.4,24.0,2010-01-20T06:36,2010-01-20T17:55,12.20,12.20,0.00,18.0,16.1,33.1,33,7.79,2.13
2010-01-21,55,28.0,20.8,23.3,29.9,22.9,26.3,2010-01-21T06:36,2010-01-21T17:56,7.30,7.30,0.00,19.0,14.8,37.8,86,7.89,1.85
2010-01-22,53,29.2,22.5,24.8,32.4,26.1,28.8,2010-01-22T06:36,2010-01-22T17:56,3.70,3.70,0.00,10.0,11.6,38.2,126,12.02,2.55
2010-01-23,51,29.3,22.3,25.2,32.8,22.5,28.4,2010-01-23T06:36,2010-01-23T17:57,0.90,0.90,0.00,5.0,16.0,32.0,70,14.35,3.23
2010-01-24,3,28.0,19.4,23.9,31.4,19.4,25.4,2010-01-24T06:36,2010-01-24T17:58,0.00,0.00,0.00,0.0,15.6,29.5,57,15.26,3.50
2010-01-25,1,30.6,19.9,24.7,32.5,20.6,25.5,2010-01-25T06:36,2010-01-25T17:58,0.00,0.00,0.00,0.0,22.1,42.5,56,19.59,5.02
2010-01-26,3,29.6,19.2,23.7,30.5,18.3,23.4,2010-01-26T06:36,2010-01-26T17:59,0.00,0.00,0.00,0.0,20.1,41.8,64,19.08,5.01
2010-01-27,0,29.8,18.5,23.8,32.8,18.5,25.0,2010-01-27T06:36,2010-01-27T17:59,0.00,0.00,0.00,0.0,16.1,31.0,47,20.26,4.44
2010-01-28,0,31.8,20.0,25.7,35.2,21.4,27.9,2010-01-28T06:36,2010-01-28T18:00,0.00,0.00,0.00,0.0,8.7,22.0,21,20.47,4.47
2010-01-29,0,32.9,20.3,26.5,36.0,22.1,28.6,2010-01-29T06:36,2010-01-29T18:00,0.00,0.00,0.00,0.0,9.1,23.0,78,20.47,4.66
2010-01-30,1,33.2,20.2,26.6,37.0,21.6,28.9,2010-01-30T06:36,2010-01-30T18:01,0.00,0.00,0.00,0.0,7.8,23.0,105,20.24,4.40
2010-01-31,1,33.0,22.0,27.8,36.2,24.6,30.9,2010-01-31T06:35,2010-01-31T18:01,0.00,0.00,0.00,0.0,6.2,19.4,264,17.59,3.91
2010-02-01,51,33.1,23.1,28.2,36.5,26.5,31.6,2010-02-01T06:35,2010-02-01T18:02,0.10,0.10,0.00,1.0,6.6,16.9,170,17.29,3.91
2010-02-02,1,33.9,22.7,28.5,37.2,26.2,31.6,2010-02-02T06:35,2010-02-02T18:02,0.00,0.00,0.00,0.0,7.7,23.8,243,18.10,4.31
2010-02-03,53,33.7,23.5,27.7,38.5,26.8,31.7,2010-02-03T06:35,2010-02-03T18:03,2.30,2.30,0.00,6.0,8.2,22.3,219,17.37,3.83
2010-02-04,61,33.3,24.5,28.1,37.8,29.0,32.5,2010-02-04T06:34,2010-02-04T18:03,3.10,3.10,0.00,7.0,8.6,20.5,165,17.76,3.88
2010-02-05,61,33.2,23.1,27.2,37.8,27.9,31.9,2010-02-05T06:34,2010-02-05T18:04,4.90,4.90,0.00,7.0,6.9,20.2,181,17.88,3.87
2010-02-06,53,32.4,23.5,27.2,37.1,27.8,31.7,2010-02-06T06:34,2010-02-06T18:04,3.30,3.30,0.00,9.0,9.7,26.6,201,16.83,3.69
2010-02-07,51,30.8,23.3,26.7,35.6,28.4,31.4,2010-02-07T06:33,2010-02-07T18:04,0.50,0.50,0.00,3.0,6.6,24.8,42,15.57,3.28
