latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.200005,104.100006,164.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,30.3,20.4,25.0,33.0,21.5,26.8,2010-01-01T06:33,2010-01-01T17:40,0.00,0.00,0.00,0.0,13.7,29.9,96,16.68,3.80
2010-01-02,2,30.2,20.8,25.4,33.3,22.4,27.6,2010-01-02T06:33,2010-01-02T17:41,0.00,0.00,0.00,0.0,12.0,28.4,89,15.78,3.54
2010-01-03,53,29.1,21.5,24.7,31.1,23.3,26.4,2010-01-03T06:33,2010-01-03T17:41,1.10,1.10,0.00,3.0,13.7,28.1,87,12.64,3.20
2010-01-04,2,29.7,19.7,24.6,33.9,21.5,27.1,2010-01-04T06:34,2010-01-04T17:42,0.00,0.00,0.00,0.0,8.6,20.2,89,15.97,3.38
2010-01-05,51,30.7,21.5,25.9,34.2,24.6,29.3,2010-01-05T06:34,2010-01-05T17:42,0.20,0.20,0.00,2.0,7.3,24.5,78,13.99,3.03
2010-01-06,1,31.6,21.3,26.6,35.1,24.0,29.1,2010-01-06T06:34,2010-01-06T17:43,0.00,0.00,0.00,0.0,16.6,31.0,89,15.89,3.92
2010-01-07,55,26.6,20.9,22.8,27.9,21.6,24.2,2010-01-07T06:34,2010-01-07T17:44,3.80,3.80,0.00,6.0,12.7,27.7,65,8.04,2.24
2010-01-08,53,24.0,19.0,21.3,24.9,20.4,22.5,2010-01-08T06:35,2010-01-08T17:44,2.30,2.30,0.00,8.0,9.8,27.4,93,9.04,2.12
2010-01-09,2,28.0,16.7,22.3,30.9,17.6,23.9,2010-01-09T06:35,2010-01-09T17:45,0.00,0.00,0.00,0.0,7.0,16.9,52,18.55,3.65
2010-01-10,1,29.9,19.9,24.5,32.5,22.2,26.7,2010-01-10T06:35,2010-01-10T17:45,0.00,0.00,0.00,0.0,8.6,22.3,358,18.60,3.93
2010-01-11,2,30.4,18.3,24.2,33.0,19.7,25.7,2010-01-11T06:35,2010-01-11T17:46,0.00,0.00,0.00,0.0,15.2,30.6,87,16.69,3.77
2010-01-12,1,26.8,16.0,21.1,26.0,13.6,19.7,2010-01-12T06:35,2010-01-12T17:47,0.00,0.00,0.00,0.0,19.5,38.9,88,18.49,4.68
2010-01-13,1,25.4,14.1,18.8,24.3,12.0,16.9,2010-01-13T06:36,2010-01-13T17:47,0.00,0.00,0.00,0.0,18.8,34.6,88,18.64,4.42
2010-01-14,1,25.8,14.5,19.5,25.5,12.9,18.4,2010-01-14T06:36,2010-01-14T17:48,0.00,0.00,0.00,0.0,14.4,28.1,86,18.53,4.13
2010-01-15,1,27.7,15.6,21.5,29.1,15.8,21.9,2010-01-15T06:36,2010-01-15T17:48,0.00,0.00,0.00,0.0,15.2,34.6,77,18.77,3.94
2010-01-16,3,26.3,18.4,21.7,25.2,18.1,21.4,2010-01-16T06:36,2010-01-16T17:49,0.00,0.00,0.00,0.0,19.7,41.8,72,11.87,3.37
2010-01-17,3,26.6,15.3,20.3,26.3,15.1,19.6,2010-01-17T06:36,2010-01-17T17:50,0.00,0.00,0.00,0.0,18.4,37.4,76,16.42,3.92
