latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.5,100.100006,8.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,32.7,24.1,28.6,36.3,28.9,32.6,2010-01-01T06:44,2010-01-01T18:01,0.20,0.20,0.00,1.0,7.8,19.4,170,15.36,3.60
2010-01-02,1,33.4,23.4,28.6,37.1,28.0,32.1,2010-01-02T06:44,2010-01-02T18:02,0.00,0.00,0.00,0.0,9.6,20.2,174,16.90,4.10
2010-01-03,1,34.1,22.6,28.7,37.9,26.6,32.1,2010-01-03T06:45,2010-01-03T18:02,0.00,0.00,0.00,0.0,7.3,19.4,24,18.58,4.31
2010-01-04,2,33.4,24.6,28.8,37.1,28.5,32.5,2010-01-04T06:45,2010-01-04T18:03,0.00,0.00,0.00,0.0,13.0,26.3,170,16.75,3.84
2010-01-05,51,33.4,25.7,28.7,38.8,30.8,33.6,2010-01-05T06:45,2010-01-05T18:03,0.60,0.60,0.00,3.0,10.5,24.1,174,16.35,3.73
2010-01-06,61,30.5,24.5,26.9,35.9,29.8,32.1,2010-01-06T06:46,2010-01-06T18:04,10.70,10.70,0.00,14.0,9.0,27.7,154,11.41,2.50
2010-01-07,61,30.6,23.6,26.5,35.7,28.8,31.7,2010-01-07T06:46,2010-01-07T18:04,6.10,6.10,0.00,12.0,8.4,26.3,31,13.51,2.83
2010-01-08,51,28.8,23.1,25.1,31.3,26.2,28.4,2010-01-08T06:46,2010-01-08T18:05,0.40,0.40,0.00,2.0,13.2,28.1,22,8.83,2.25
2010-01-09,3,30.3,21.0,25.4,34.1,23.4,28.3,2010-01-09T06:46,2010-01-09T18:06,0.00,0.00,0.00,0.0,10.0,24.1,3,16.79,3.68
2010-01-10,1,31.5,21.7,26.6,35.7,25.5,30.3,2010-01-10T06:47,2010-01-10T18:06,0.00,0.00,0.00,0.0,7.6,15.8,0,17.66,3.73
2010-01-11,1,33.3,21.4,27.3,37.1,25.4,30.7,2010-01-11T06:47,2010-01-11T18:07,0.00,0.00,0.00,0.0,8.3,16.2,174,18.60,4.07
2010-01-12,2,32.4,21.4,27.3,34.9,25.1,30.4,2010-01-12T06:47,2010-01-12T18:07,0.00,0.00,0.00,0.0,8.7,23.4,144,17.49,4.06
2010-01-13,1,31.5,22.6,26.6,34.2,23.5,28.5,2010-01-13T06:47,2010-01-13T18:08,0.00,0.00,0.00,0.0,10.2,24.5,36,17.98,4.37
2010-01-14,2,29.5,22.4,25.8,31.7,22.3,26.7,2010-01-14T06:47,2010-01-14T18:08,0.00,0.00,0.00,0.0,13.0,29.2,20,18.63,4.74
2010-01-15,1,31.4,20.5,25.9,33.4,21.4,27.1,2010-01-15T06:47,2010-01-15T18:09,0.00,0.00,0.00,0.0,10.8,27.4,11,19.98,4.91
2010-01-16,3,31.3,21.5,26.4,31.7,22.9,27.1,2010-01-16T06:48,2010-01-16T18:10,0.00,0.00,0.00,0.0,18.8,41.0,33,17.05,4.95
2010-01-17,1,30.6,21.4,25.8,31.1,21.3,25.9,2010-01-17T06:48,2010-01-17T18:10,0.00,0.00,0.00,0.0,16.9,37.1,33,20.14,5.52
2010-01-18,1,29.4,19.9,24.5,29.7,19.3,24.2,2010-01-18T06:48,2010-01-18T18:11,0.00,0.00,0.00,0.0,16.8,35.3,22,20.76,5.39
2010-01-19,1,30.5,19.0,24.6,30.5,19.1,24.7,2010-01-19T06:48,2010-01-19T18:11,0.00,0.00,0.00,0.0,15.0,33.8,10,20.68,5.19
2010-01-20,2,30.2,21.9,25.7,30.4,22.1,26.2,2010-01-20T06:48,2010-01-20T18:12,0.00,0.00,0.00,0.0,15.4,33.5,12,14.73,4.35
2010-01-21,3,29.6,23.6,25.6,31.6,25.7,28.0,2010-01-21T06:48,2010-01-21T18:12,0.00,0.00,0.00,0.0,11.9,33.1,24,8.11,2.50
2010-01-22,51,30.4,23.3,26.3,35.2,27.5,30.7,2010-01-22T06:48,2010-01-22T18:13,1.10,1.10,0.00,4.0,10.4,23.0,17,14.95,3.21
2010-01-23,53,31.5,23.2,25.8,37.1,28.0,30.9,2010-01-23T06:48,2010-01-23T18:14,5.40,5.40,0.00,13.0,7.4,20.9,116,13.49,2.89
2010-01-24,51,31.1,22.8,26.7,35.3,27.3,31.0,2010-01-24T06:48,2010-01-24T18:14,1.10,1.10,0.00,4.0,6.4,22.7,119,16.18,3.50
2010-01-25,51,31.7,23.2,27.3,35.7,28.0,31.3,2010-01-25T06:48,2010-01-25T18:15,0.50,0.50,0.00,3.0,7.6,25.9,9,16.59,3.73
2010-01-26,3,31.7,24.6,27.7,35.1,25.3,30.4,2010-01-26T06:48,2010-01-26T18:15,0.00,0.00,0.00,0.0,15.0,32.8,35,17.67,4.21
