latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.200005,104.80002,125.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,32.3,21.6,26.8,36.1,23.9,29.4,2010-01-01T06:26,2010-01-01T17:41,0.00,0.00,0.00,0.0,12.6,22.7,50,18.70,4.16
2010-01-02,1,32.6,21.7,27.1,36.4,24.0,29.9,2010-01-02T06:27,2010-01-02T17:41,0.00,0.00,0.00,0.0,9.0,19.8,52,19.11,4.10
2010-01-03,1,32.2,22.2,27.0,35.0,24.2,29.1,2010-01-03T06:27,2010-01-03T17:42,0.00,0.00,0.00,0.0,15.5,28.8,35,17.26,4.42
2010-01-04,1,32.7,21.3,27.1,35.2,24.0,29.5,2010-01-04T06:27,2010-01-04T17:42,0.00,0.00,0.00,0.0,11.9,24.5,82,18.32,4.20
2010-01-05,1,32.1,21.8,27.1,35.0,24.8,29.9,2010-01-05T06:28,2010-01-05T17:43,0.00,0.00,0.00,0.0,9.7,27.0,134,15.89,3.79
2010-01-06,1,33.5,22.5,28.0,35.4,26.0,30.4,2010-01-06T06:28,2010-01-06T17:44,0.00,0.00,0.00,0.0,14.6,31.0,86,17.28,4.39
2010-01-07,1,32.3,23.1,27.4,34.6,25.1,29.2,2010-01-07T06:28,2010-01-07T17:44,0.00,0.00,0.00,0.0,15.3,31.3,56,17.10,4.45
2010-01-08,51,25.6,20.4,23.1,26.4,20.4,23.8,2010-01-08T06:28,2010-01-08T17:45,0.80,0.80,0.00,3.0,16.9,33.8,28,5.08,2.22
2010-01-09,1,30.0,18.7,24.0,33.4,19.4,25.9,2010-01-09T06:29,2010-01-09T17:45,0.00,0.00,0.00,0.0,12.2,22.7,354,18.86,4.05
2010-01-10,2,31.6,19.2,25.4,34.6,21.5,27.9,2010-01-10T06:29,2010-01-10T17:46,0.00,0.00,0.00,0.0,6.6,16.6,360,18.27,3.76
2010-01-11,1,32.4,19.3,25.8,34.2,20.4,27.1,2010-01-11T06:29,2010-01-11T17:46,0.00,0.00,0.00,0.0,12.5,28.1,28,19.67,4.36
2010-01-12,1,30.4,19.1,23.9,30.4,17.0,23.3,2010-01-12T06:29,2010-01-12T17:47,0.00,0.00,0.00,0.0,22.2,46.1,45,19.49,5.43
2010-01-13,1,28.7,17.8,22.0,28.6,16.2,20.7,2010-01-13T06:29,2010-01-13T17:48,0.00,0.00,0.00,0.0,23.4,43.6,40,16.68,4.78
2010-01-14,1,29.4,17.7,22.6,29.5,16.0,21.7,2010-01-14T06:30,2010-01-14T17:48,0.00,0.00,0.00,0.0,22.4,42.8,40,19.97,5.08
2010-01-15,1,30.0,17.5,23.5,32.0,17.9,24.2,2010-01-15T06:30,2010-01-15T17:49,0.00,0.00,0.00,0.0,15.4,31.0,25,19.88,4.57
2010-01-16,3,29.4,20.0,23.9,27.9,19.8,23.0,2010-01-16T06:30,2010-01-16T17:49,0.00,0.00,0.00,0.0,24.4,49.0,33,15.36,4.95
2010-01-17,1,29.1,18.9,23.1,28.3,18.1,21.8,2010-01-17T06:30,2010-01-17T17:50,0.00,0.00,0.00,0.0,21.9,47.2,31,19.85,5.56
2010-01-18,1,29.1,17.8,22.8,29.2,16.9,22.0,2010-01-18T06:30,2010-01-18T17:51,0.00,0.00,0.00,0.0,19.2,40.7,29,20.57,5.23
2010-01-19,3,29.9,18.2,23.8,30.5,18.7,24.3,2010-01-19T06:30,2010-01-19T17:51,0.00,0.00,0.00,0.0,17.9,32.4,26,15.20,4.12
2010-01-20,63,29.6,20.4,23.6,31.9,22.2,25.3,2010-01-20T06:30,2010-01-20T17:52,17.80,17.80,0.00,14.0,19.3,37.4,26,8.38,2.38
2010-01-21,51,29.7,21.8,25.0,31.5,23.9,27.7,2010-01-21T06:30,2010-01-21T17:52,2.30,2.30,0.00,9.0,20.9,41.8,127,13.04,3.07
2010-01-22,53,30.3,23.0,26.1,32.7,27.0,29.7,2010-01-22T06:30,2010-01-22T17:53,1.90,1.90,0.00,8.0,13.9,33.8,144,14.97,3.36
2010-01-23,53,30.4,22.4,25.6,34.8,24.0,29.3,2010-01-23T06:30,2010-01-23T17:53,2.30,2.30,0.00,6.0,13.2,28.1,71,15.82,3.44
2010-01-24,51,29.9,20.5,24.9,34.0,21.4,27.3,2010-01-24T06:30,2010-01-24T17:54,0.40,0.40,0.00,2.0,13.7,26.3,27,16.76,3.80
2010-01-25,1,31.2,20.6,25.2,33.4,21.7,26.3,2010-01-25T06:30,2010-01-25T17:55,0.00,0.00,0.00,0.0,22.1,41.8,31,20.08,5.14
2010-01-26,1,31.4,21.0,25.2,33.4,21.2,25.8,2010-01-26T06:30,2010-01-26T17:55,0.00,0.00,0.00,0.0,20.5,39.2,40,20.04,5.26
2010-01-27,1,30.8,20.0,25.1,35.0,21.1,27.2,2010-01-27T06:30,2010-01-27T17:56,0.00,0.00,0.00,0.0,16.2,30.6,16,20.42,4.47
2010-01-28,1,32.0,20.4,26.2,36.2,22.4,28.9,2010-01-28T06:30,2010-01-28T17:56,0.00,0.00,0.00,0.0,7.3,19.1,16,20.02,4.29
2010-01-29,1,33.2,21.4,27.2,37.0,23.8,29.9,2010-01-29T06:30,2010-01-29T17:56,0.00,0.00,0.00,0.0,8.2,21.6,48,20.58,4.46
2010-01-30,1,32.9,20.6,26.8,37.0,22.4,29.5,2010-01-30T06:30,2010-01-30T17:57,0.00,0.00,0.00,0.0,8.4,25.2,106,19.53,4.19
2010-01-31,1,33.0,21.5,27.6,38.0,24.8,31.0,2010-01-31T06:29,2010-01-31T17:57,0.00,0.00,0.00,0.0,6.9,17.6,258,20.06,4.24
2010-02-01,51,32.9,23.7,28.2,36.7,27.3,31.9,2010-02-01T06:29,2010-02-01T17:58,0.10,0.10,0.00,1.0,6.6,17.6,220,18.64,4.12
2010-02-02,51,33.4,23.2,28.4,38.0,27.5,32.6,2010-02-02T06:29,2010-02-02T17:58,0.40,0.40,0.00,3.0,6.5,19.1,235,18.33,4.04
2010-02-03,1,32.4,23.7,28.3,36.3,28.1,32.1,2010-02-03T06:29,2010-02-03T17:59,0.00,0.00,0.00,0.0,8.9,25.2,187,17.20,3.99
2010-02-04,61,32.5,24.2,27.8,36.8,28.2,32.2,2010-02-04T06:29,2010-02-04T17:59,4.80,4.80,0.00,6.0,11.4,24.5,181,16.74,3.80
2010-02-05,51,32.6,23.2,27.6,36.7,27.9,32.1,2010-02-05T06:28,2010-02-05T18:00,0.30,0.30,0.00,2.0,9.2,23.8,176,18.45,3.98
2010-02-06,51,31.8,22.8,27.7,35.9,27.2,32.0,2010-02-06T06:28,2010-02-06T18:00,0.10,0.10,0.00,1.0,7.7,23.8,179,17.26,3.78
2010-02-07,51,32.0,24.0,27.8,37.5,28.4,32.2,2010-02-07T06:28,2010-02-07T18:01,0.30,0.30,0.00,3.0,6.1,19.4,355,17.33,3.69
2010-02-08,51,33.4,23.3,28.4,37.8,27.5,32.2,2010-02-08T06:27,2010-02-08T18:01,0.20,0.20,0.00,2.0,5.9,23.0,104,18.96,4.20
2010-02-09,1,33.8,22.7,28.6,37.8,26.5,32.3,2010-02-09T06:27,2010-02-09T18:01,0.00,0.00,0.00,0.0,6.9,20.2,218,20.55,4.49
2010-02-10,1,34.3,23.2,28.8,38.2,26.5,32.1,2010-02-10T06:27,2010-02-10T18:02,0.00,0.00,0.00,0.0,10.9,28.4,223,21.16,4.93
2010-02-11,0,35.2,23.9,29.4,39.9,27.3,32.9,2010-02-11T06:26,2010-02-11T18:02,0.00,0.00,0.00,0.0,9.8,24.1,222,21.35,5.01
2010-02-12,1,35.7,23.7,29.7,39.1,27.2,32.7,2010-02-12T06:26,2010-02-12T18:03,0.00,0.00,0.00,0.0,16.8,38.5,344,20.15,4.98
2010-02-13,2,33.5,23.2,28.3,37.1,25.1,31.0,2010-02-13T06:26,2010-02-13T18:03,0.00,0.00,0.00,0.0,15.6,33.5,74,19.83,4.85
2010-02-14,51,33.0,24.1,28.4,36.7,27.4,31.9,2010-02-14T06:25,2010-02-14T18:03,0.30,0.30,0.00,2.0,11.1,25.9,174,17.73,4.21
2010-02-15,1,33.8,24.6,29.1,38.5,28.7,33.0,2010-02-15T06:25,2010-02-15T18:04,0.00,0.00,0.00,0.0,8.7,18.7,182,18.24,4.21
2010-02-16,1,34.2,23.0,28.0,36.8,22.7,29.4,2010-02-16T06:24,2010-02-16T18:04,0.00,0.00,0.00,0.0,20.9,42.8,63,21.08,5.70
2010-02-17,2,33.4,20.5,25.8,36.6,19.9,26.5,2010-02-17T06:24,2010-02-17T18:04,0.00,0.00,0.00,0.0,20.9,43.2,40,20.58,5.59
