latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.400002,102.80002,179.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,3,29.7,21.5,25.3,32.5,23.3,27.7,2010-01-01T06:39,2010-01-01T17:45,0.00,0.00,0.00,0.0,10.5,22.7,91,13.17,2.99
2010-01-02,2,29.9,21.9,25.6,33.3,24.1,28.4,2010-01-02T06:39,2010-01-02T17:46,0.00,0.00,0.00,0.0,8.3,21.2,76,12.20,2.73
2010-01-03,51,29.9,22.2,25.6,32.5,24.9,28.3,2010-01-03T06:39,2010-01-03T17:46,0.10,0.10,0.00,1.0,9.8,24.5,74,13.42,3.06
2010-01-04,2,29.8,20.8,25.4,33.8,23.1,28.2,2010-01-04T06:40,2010-01-04T17:47,0.00,0.00,0.00,0.0,7.2,17.3,89,15.82,3.32
2010-01-05,51,30.9,21.6,26.5,34.9,24.8,29.8,2010-01-05T06:40,2010-01-05T17:47,0.10,0.10,0.00,1.0,6.9,19.8,99,15.21,3.30
2010-01-06,51,31.5,22.4,26.5,35.3,26.0,29.9,2010-01-06T06:40,2010-01-06T17:48,0.90,0.90,0.00,3.0,9.6,20.2,80,14.86,3.28
2010-01-07,61,24.3,20.3,22.1,27.0,22.9,24.1,2010-01-07T06:40,2010-01-07T17:49,12.60,12.60,0.00,16.0,12.6,23.8,73,3.51,1.21
2010-01-08,61,24.1,19.8,21.7,25.9,22.3,24.0,2010-01-08T06:41,2010-01-08T17:49,9.10,9.10,0.00,9.0,8.9,20.5,90,6.42,1.45
2010-01-09,3,27.2,19.1,23.1,29.4,21.1,25.4,2010-01-09T06:41,2010-01-09T17:50,0.00,0.00,0.00,0.0,6.7,16.9,128,13.68,2.77
2010-01-10,2,29.7,19.2,24.0,32.9,21.2,26.5,2010-01-10T06:41,2010-01-10T17:50,0.00,0.00,0.00,0.0,8.1,20.5,271,17.28,3.59
2010-01-11,2,30.2,19.2,24.8,32.6,21.3,27.0,2010-01-11T06:41,2010-01-11T17:51,0.00,0.00,0.00,0.0,8.0,20.5,93,16.71,3.63
2010-01-12,1,26.5,18.9,22.2,26.5,17.0,21.8,2010-01-12T06:41,2010-01-12T17:52,0.00,0.00,0.00,0.0,17.1,34.6,86,16.45,4.08
2010-01-13,1,24.6,14.9,19.6,24.6,13.4,18.6,2010-01-13T06:41,2010-01-13T17:52,0.00,0.00,0.00,0.0,15.1,28.8,85,17.93,3.97
2010-01-14,0,25.1,15.2,19.8,25.6,13.9,19.2,2010-01-14T06:42,2010-01-14T17:53,0.00,0.00,0.00,0.0,13.7,25.9,81,18.41,3.86
2010-01-15,1,27.1,15.5,21.2,29.3,15.8,22.2,2010-01-15T06:42,2010-01-15T17:53,0.00,0.00,0.00,0.0,7.8,20.2,73,19.02,3.67
2010-01-16,3,27.2,18.7,22.6,27.2,19.2,22.6,2010-01-16T06:42,2010-01-16T17:54,0.00,0.00,0.00,0.0,16.6,35.6,85,15.25,3.90
2010-01-17,3,26.9,16.9,21.8,27.2,17.0,21.4,2010-01-17T06:42,2010-01-17T17:55,0.00,0.00,0.00,0.0,15.6,31.7,74,19.31,4.44
2010-01-18,1,26.4,14.8,20.7,26.9,14.6,20.5,2010-01-18T06:42,2010-01-18T17:55,0.00,0.00,0.00,0.0,12.6,27.0,64,19.75,3.99
2010-01-19,2,27.2,15.0,21.3,28.5,15.5,21.9,2010-01-19T06:42,2010-01-19T17:56,0.00,0.00,0.00,0.0,8.7,21.2,72,18.97,3.90
2010-01-20,55,26.7,19.6,21.8,28.3,21.2,23.6,2010-01-20T06:42,2010-01-20T17:57,7.40,7.40,0.00,11.0,8.1,20.5,56,9.01,1.98
2010-01-21,61,22.6,20.3,21.4,26.0,23.1,24.5,2010-01-21T06:42,2010-01-21T17:57,11.50,11.50,0.00,21.0,7.4,23.4,23,2.93,0.74
2010-01-22,63,23.7,21.0,21.8,27.6,23.7,25.2,2010-01-22T06:42,2010-01-22T17:58,14.50,14.50,0.00,17.0,10.0,29.9,86,2.30,0.58
2010-01-23,61,24.5,20.2,22.0,27.7,21.7,25.3,2010-01-23T06:42,2010-01-23T17:58,15.50,15.50,0.00,20.0,10.5,25.2,53,4.45,0.99
2010-01-24,53,25.7,18.9,21.9,28.2,20.6,23.8,2010-01-24T06:42,2010-01-24T17:59,1.80,1.80,0.00,5.0,10.4,18.7,72,13.81,2.70
2010-01-25,3,28.0,18.8,23.2,31.2,20.9,25.4,2010-01-25T06:42,2010-01-25T18:00,0.00,0.00,0.00,0.0,18.4,34.6,63,15.42,3.40
2010-01-26,3,27.0,17.8,22.5,29.3,18.2,23.5,2010-01-26T06:42,2010-01-26T18:00,0.00,0.00,0.00,0.0,15.3,30.2,85,17.67,3.81
2010-01-27,1,27.2,17.9,22.7,30.3,18.8,24.5,2010-01-27T06:41,2010-01-27T18:01,0.00,0.00,0.00,0.0,12.3,22.0,75,19.52,3.85
2010-01-28,0,29.5,18.2,24.2,33.6,19.8,26.9,2010-01-28T06:41,2010-01-28T18:01,0.00,0.00,0.00,0.0,7.1,16.9,8,20.02,4.02
2010-01-29,1,30.2,19.3,25.4,34.3,21.9,28.6,2010-01-29T06:41,2010-01-29T18:02,0.00,0.00,0.00,0.0,7.2,17.6,104,17.89,3.68
2010-01-30,1,30.5,20.4,25.4,34.7,23.2,28.5,2010-01-30T06:41,2010-01-30T18:02,0.00,0.00,0.00,0.0,8.2,15.8,62,16.99,3.58
2010-01-31,1,31.7,21.4,25.9,35.2,24.6,29.1,2010-01-31T06:41,2010-01-31T18:03,0.00,0.00,0.00,0.0,9.0,20.2,38,18.54,4.01
2010-02-01,1,31.8,20.3,25.9,36.0,23.0,29.2,2010-02-01T06:40,2010-02-01T18:03,0.00,0.00,0.00,0.0,8.4,17.6,10,19.86,4.15
2010-02-02,0,32.0,21.4,26.4,35.9,24.4,29.7,2010-02-02T06:40,2010-02-02T18:04,0.00,0.00,0.00,0.0,8.0,19.8,14,19.72,4.25
2010-02-03,1,31.5,21.3,26.6,36.5,24.3,30.1,2010-02-03T06:40,2010-02-03T18:04,0.00,0.00,0.00,0.0,7.1,14.8,111,18.48,3.87
2010-02-04,51,31.6,22.0,26.8,36.5,25.6,30.7,2010-02-04T06:40,2010-02-04T18:05,0.10,0.10,0.00,1.0,7.2,19.1,81,16.84,3.57
2010-02-05,53,31.7,22.9,26.8,38.6,27.5,31.5,2010-02-05T06:39,2010-02-05T18:05,1.90,1.90,0.00,5.0,8.0,21.2,149,18.82,3.87
2010-02-06,61,31.4,22.5,26.2,37.9,26.6,31.0,2010-02-06T06:39,2010-02-06T18:06,2.70,2.70,0.00,3.0,6.1,23.4,143,18.41,3.77
2010-02-07,51,30.5,21.9,26.0,36.4,26.2,30.4,2010-02-07T06:39,2010-02-07T18:06,0.10,0.10,0.00,1.0,8.2,18.0,146,18.06,3.69
2010-02-08,53,31.6,21.9,26.6,37.1,25.9,30.8,2010-02-08T06:38,2010-02-08T18:07,0.60,0.60,0.00,1.0,6.8,24.1,194,18.67,3.96
2010-02-09,2,32.0,22.1,26.9,35.8,26.1,30.4,2010-02-09T06:38,2010-02-09T18:07,0.00,0.00,0.00,0.0,9.0,26.6,225,18.79,4.21
2010-02-10,1,33.4,21.6,27.7,36.7,24.8,30.6,2010-02-10T06:37,2010-02-10T18:08,0.00,0.00,0.00,0.0,10.0,24.5,230,20.03,4.77
2010-02-11,0,34.1,21.5,27.8,37.1,24.5,30.7,2010-02-11T06:37,2010-02-11T18:08,0.00,0.00,0.00,0.0,9.8,23.8,246,21.62,4.98
2010-02-12,0,34.1,22.5,28.0,38.3,25.3,31.0,2010-02-12T06:37,2010-02-12T18:09,0.00,0.00,0.00,0.0,8.3,16.6,276,21.25,4.55
2010-02-13,0,31.2,21.2,26.1,35.1,22.3,28.3,2010-02-13T06:36,2010-02-13T18:09,0.00,0.00,0.00,0.0,15.0,32.4,101,20.74,4.76
2010-02-14,51,31.9,22.5,27.3,36.2,26.0,31.1,2010-02-14T06:36,2010-02-14T18:09,0.20,0.20,0.00,1.0,7.5,20.9,126,17.64,3.92
2010-02-15,0,33.8,22.9,28.3,38.5,27.2,32.2,2010-02-15T06:35,2010-02-15T18:10,0.00,0.00,0.00,0.0,12.2,21.6,95,21.04,4.64
2010-02-16,51,30.4,21.8,26.0,32.6,22.9,27.5,2010-02-16T06:35,2010-02-16T18:10,0.40,0.40,0.00,3.0,17.1,33.5,92,15.65,4.25
2010-02-17,51,29.3,19.9,24.1,31.0,20.2,24.3,2010-02-17T06:34,2010-02-17T18:11,0.10,0.10,0.00,1.0,18.4,33.5,101,16.98,4.59
2010-02-18,2,27.3,18.3,22.7,27.6,17.6,22.3,2010-02-18T06:34,2010-02-18T18:11,0.00,0.00,0.00,0.0,16.6,33.5,95,18.27,4.68
2010-02-19,3,24.9,17.5,20.5,24.8,16.3,19.4,2010-02-19T06:33,2010-02-19T18:11,0.00,0.00,0.00,0.0,15.1,31.7,83,15.64,4.00
2010-02-20,2,26.9,16.4,21.3,28.5,15.8,21.6,2010-02-20T06:33,2010-02-20T18:12,0.00,0.00,0.00,0.0,9.8,23.0,106,18.70,4.02
2010-02-21,2,30.3,17.8,24.1,33.1,19.5,26.3,2010-02-21T06:32,2010-02-21T18:12,0.00,0.00,0.00,0.0,7.6,23.0,107,18.87,4.04
2010-02-22,1,32.6,19.9,26.1,36.1,22.4,28.8,2010-02-22T06:31,2010-02-22T18:12,0.00,0.00,0.00,0.0,8.4,17.6,76,22.46,4.81
2010-02-23,51,32.0,21.9,26.7,35.6,23.3,29.4,2010-02-23T06:31,2010-02-23T18:13,0.20,0.20,0.00,2.0,7.9,21.6,134,18.63,4.32
2010-02-24,1,34.1,22.5,28.2,35.1,26.3,30.0,2010-02-24T06:30,2010-02-24T18:13,0.00,0.00,0.00,0.0,16.3,36.4,248,21.63,5.64
2010-02-25,0,34.6,22.2,28.2,36.8,24.1,29.8,2010-02-25T06:29,2010-02-25T18:13,0.00,0.00,0.00,0.0,9.4,26.3,224,23.05,5.66
2010-02-26,0,35.1,20.3,28.2,36.8,21.8,29.1,2010-02-26T06:29,2010-02-26T18:14,0.00,0.00,0.00,0.0,8.4,20.9,243,23.67,5.90
2010-02-27,0,35.1,21.7,28.5,38.4,22.9,30.1,2010-02-27T06:28,2010-02-27T18:14,0.00,0.00,0.00,0.0,8.4,19.4,183,23.61,5.54
2010-02-28,0,35.3,22.8,29.1,38.7,25.5,31.4,2010-02-28T06:27,2010-02-28T18:14,0.00,0.00,0.00,0.0,8.3,22.0,208,22.85,5.48
2010-03-01,1,35.2,23.7,29.6,38.7,26.8,32.1,2010-03-01T06:27,2010-03-01T18:15,0.00,0.00,0.00,0.0,10.5,23.4,210,21.83,5.59
2010-03-02,0,35.8,24.0,30.1,38.5,27.4,32.4,2010-03-02T06:26,2010-03-02T18:15,0.00,0.00,0.00,0.0,11.1,27.0,231,22.62,6.02
2010-03-03,0,36.6,23.8,30.2,38.8,26.5,32.0,2010-03-03T06:25,2010-03-03T18:15,0.00,0.00,0.00,0.0,10.1,25.6,231,24.03,6.23
2010-03-04,0,36.7,22.7,29.9,38.7,25.0,31.0,2010-03-04T06:25,2010-03-04T18:15,0.00,0.00,0.00,0.0,12.5,27.4,234,24.30,6.66
2010-03-05,1,36.2,21.3,29.3,37.9,22.8,30.1,2010-03-05T06:24,2010-03-05T18:16,0.00,0.00,0.00,0.0,12.4,22.0,215,24.51,6.49
2010-03-06,0,36.1,22.5,29.8,39.1,24.1,31.2,2010-03-06T06:23,2010-03-06T18:16,0.00,0.00,0.00,0.0,10.8,21.2,212,24.11,6.21
2010-03-07,0,36.6,23.4,30.3,40.9,25.5,32.7,2010-03-07T06:23,2010-03-07T18:16,0.00,0.00,0.00,0.0,8.0,16.9,166,24.03,5.86
2010-03-08,0,36.7,24.9,30.9,42.2,27.6,34.1,2010-03-08T06:22,2010-03-08T18:17,0.00,0.00,0.00,0.0,8.8,14.8,131,23.84,5.76
2010-03-09,1,31.1,18.5,26.6,32.1,15.0,26.1,2010-03-09T06:21,2010-03-09T18:17,0.00,0.00,0.00,0.0,26.2,52.2,90,16.95,5.77
2010-03-10,3,24.1,16.2,19.8,22.9,12.8,17.3,2010-03-10T06:20,2010-03-10T18:17,0.00,0.00,0.00,0.0,18.5,37.4,81,20.51,5.31
2010-03-11,1,27.7,17.0,22.1,29.2,15.6,22.2,2010-03-11T06:20,2010-03-11T18:17,0.00,0.00,0.00,0.0,10.4,22.7,84,22.77,4.88
2010-03-12,1,32.6,19.5,26.0,36.1,20.5,28.0,2010-03-12T06:19,2010-03-12T18:17,0.00,0.00,0.00,0.0,7.7,18.4,123,24.39,5.32
2010-03-13,1,36.1,22.6,29.6,39.3,25.1,31.9,2010-03-13T06:18,2010-03-13T18:18,0.00,0.00,0.00,0.0,9.9,25.6,190,24.12,6.02
2010-03-14,1,36.8,23.4,30.7,39.9,26.1,32.8,2010-03-14T06:17,2010-03-14T18:18,0.00,0.00,0.00,0.0,9.2,25.2,205,24.51,6.38
2010-03-15,1,36.5,23.4,30.4,41.0,26.2,33.3,2010-03-15T06:17,2010-03-15T18:18,0.00,0.00,0.00,0.0,7.9,16.9,160,24.69,5.76
2010-03-16,1,35.6,24.5,29.4,37.9,25.8,31.1,2010-03-16T06:16,2010-03-16T18:18,0.00,0.00,0.00,0.0,19.3,41.4,86,21.28,6.32
2010-03-17,2,31.4,21.8,26.8,34.3,22.4,27.9,2010-03-17T06:15,2010-03-17T18:19,0.00,0.00,0.00,0.0,16.3,31.3,89,22.75,5.62
2010-03-18,1,32.2,22.3,27.1,34.6,22.9,28.2,2010-03-18T06:14,2010-03-18T18:19,0.00,0.00,0.00,0.0,14.9,32.0,83,24.46,6.11
2010-03-19,2,32.8,20.9,27.2,37.2,22.4,29.2,2010-03-19T06:13,2010-03-19T18:19,0.00,0.00,0.00,0.0,8.8,21.2,110,24.51,5.50
2010-03-20,1,34.7,24.0,29.4,38.8,25.9,32.1,2010-03-20T06:13,2010-03-20T18:19,0.00,0.00,0.00,0.0,7.6,20.9,147,22.57,5.23
2010-03-21,2,35.0,25.2,29.8,40.1,29.0,33.2,2010-03-21T06:12,2010-03-21T18:19,0.00,0.00,0.00,0.0,11.3,20.2,28,21.59,5.05
2010-03-22,51,34.8,24.8,29.2,40.5,28.5,33.2,2010-03-22T06:11,2010-03-22T18:20,0.40,0.40,0.00,2.0,13.6,30.2,156,23.16,5.42
2010-03-23,51,35.6,24.6,30.1,40.3,28.8,34.0,2010-03-23T06:10,2010-03-23T18:20,0.10,0.10,0.00,1.0,11.3,27.0,174,22.95,5.51
2010-03-24,1,36.6,25.9,31.3,39.2,30.2,34.2,2010-03-24T06:09,2010-03-24T18:20,0.00,0.00,0.00,0.0,11.5,29.2,222,22.68,6.13
2010-03-25,1,33.4,21.7,27.8,33.9,18.3,28.4,2010-03-25T06:09,2010-03-25T18:20,0.00,0.00,0.00,0.0,26.0,53.6,83,23.67,6.80
2010-03-26,2,28.8,19.6,24.0,29.0,16.4,22.7,2010-03-26T06:08,2010-03-26T18:20,0.00,0.00,0.00,0.0,20.3,40.0,93,24.44,6.37
2010-03-27,1,30.3,19.6,25.2,32.1,19.3,25.6,2010-03-27T06:07,2010-03-27T18:21,0.00,0.00,0.00,0.0,11.5,26.6,89,24.30,5.69
2010-03-28,1,30.9,21.0,26.1,33.8,21.1,26.8,2010-03-28T06:06,2010-03-28T18:21,0.00,0.00,0.00,0.0,14.4,29.9,84,23.39,5.72
2010-03-29,1,30.7,21.8,26.4,34.0,22.9,28.2,2010-03-29T06:06,2010-03-29T18:21,0.00,0.00,0.00,0.0,13.0,24.5,99,20.97,4.84
2010-03-30,53,34.2,22.1,28.3,39.2,25.6,31.9,2010-03-30T06:05,2010-03-30T18:21,0.80,0.80,0.00,3.0,6.1,23.0,128,24.65,5.41
2010-03-31,51,35.2,24.7,30.0,40.3,28.3,33.4,2010-03-31T06:04,2010-03-31T18:21,0.20,0.20,0.00,2.0,7.7,24.5,159,23.02,5.51
2010-04-01,0,35.9,25.2,30.8,41.2,28.9,34.2,2010-04-01T06:03,2010-04-01T18:22,0.00,0.00,0.00,0.0,7.4,20.2,161,24.62,5.93
2010-04-02,0,36.3,26.4,31.6,42.2,30.4,35.2,2010-04-02T06:02,2010-04-02T18:22,0.00,0.00,0.00,0.0,7.8,17.6,173,22.69,5.66
2010-04-03,51,36.5,27.5,31.6,41.7,30.6,35.3,2010-04-03T06:02,2010-04-03T18:22,0.10,0.10,0.00,1.0,12.7,33.1,123,23.23,6.17
2010-04-04,1,37.4,27.4,32.4,42.8,31.9,36.4,2010-04-04T06:01,2010-04-04T18:22,0.00,0.00,0.00,0.0,13.0,24.1,166,23.04,6.10
2010-04-05,1,38.3,28.8,33.5,43.0,32.7,36.9,2010-04-05T06:00,2010-04-05T18:22,0.00,0.00,0.00,0.0,13.0,23.4,202,24.67,6.75
2010-04-06,1,39.3,28.8,33.8,43.5,32.2,36.9,2010-04-06T05:59,2010-04-06T18:22,0.00,0.00,0.00,0.0,12.5,21.2,192,25.19,7.06
2010-04-07,51,38.4,28.1,33.3,43.7,31.7,37.1,2010-04-07T05:59,2010-04-07T18:23,0.10,0.10,0.00,1.0,10.5,30.6,185,24.03,6.40
2010-04-08,1,38.0,28.1,32.9,43.3,32.4,36.8,2010-04-08T05:58,2010-04-08T18:23,0.00,0.00,0.00,0.0,16.4,29.5,120,24.58,6.54
