latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.400002,100.0,25.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,51,31.6,24.2,27.8,36.1,29.6,32.5,2010-01-01T06:46,2010-01-01T18:00,0.40,0.40,0.00,3.0,7.2,23.4,163,14.50,3.21
2010-01-02,51,32.3,23.9,28.1,36.1,28.6,32.2,2010-01-02T06:46,2010-01-02T18:00,0.10,0.10,0.00,1.0,7.2,19.1,168,16.32,3.68
2010-01-03,1,32.4,23.3,28.1,36.8,27.5,32.1,2010-01-03T06:47,2010-01-03T18:01,0.00,0.00,0.00,0.0,5.6,15.1,81,15.81,3.41
2010-01-04,2,32.2,22.7,27.6,36.5,26.9,31.5,2010-01-04T06:47,2010-01-04T18:02,0.00,0.00,0.00,0.0,8.3,21.6,201,15.81,3.64
2010-01-05,51,32.6,24.2,28.2,38.0,28.7,32.6,2010-01-05T06:47,2010-01-05T18:02,0.30,0.30,0.00,2.0,9.1,23.4,176,16.86,3.71
2010-01-06,63,30.3,24.4,26.9,35.2,29.1,31.7,2010-01-06T06:48,2010-01-06T18:03,9.20,9.20,0.00,10.0,8.7,30.6,152,12.39,2.68
2010-01-07,53,28.6,23.3,25.9,33.0,28.2,30.7,2010-01-07T06:48,2010-01-07T18:03,1.30,1.30,0.00,3.0,6.4,24.1,47,9.37,2.06
2010-01-08,53,25.7,22.2,23.9,30.1,26.0,28.3,2010-01-08T06:48,2010-01-08T18:04,6.90,6.90,0.00,16.0,8.0,20.2,57,5.95,1.28
2010-01-09,3,29.1,20.4,24.4,33.1,24.1,28.0,2010-01-09T06:48,2010-01-09T18:04,0.00,0.00,0.00,0.0,5.8,19.1,67,13.62,2.77
2010-01-10,3,30.9,21.4,25.8,35.4,25.3,29.9,2010-01-10T06:48,2010-01-10T18:05,0.00,0.00,0.00,0.0,4.7,14.4,339,18.22,3.67
2010-01-11,1,32.0,21.2,26.2,35.5,25.1,30.0,2010-01-11T06:49,2010-01-11T18:06,0.00,0.00,0.00,0.0,8.1,17.6,146,18.06,3.87
2010-01-12,51,31.1,21.3,26.6,33.9,24.8,29.9,2010-01-12T06:49,2010-01-12T18:06,0.20,0.20,0.00,1.0,9.2,25.2,147,16.74,3.69
2010-01-13,2,29.4,21.7,25.2,31.5,21.3,26.3,2010-01-13T06:49,2010-01-13T18:07,0.00,0.00,0.00,0.0,13.6,28.8,100,18.35,4.41
