latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.800003,104.100006,136.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2010-01-01,1,31.4,21.3,26.3,35.4,22.7,28.6,2010-01-01T06:30,2010-01-01T17:43,0.00,0.00,0.00,0.0,14.3,28.1,63,17.40,3.99
2010-01-02,1,32.6,21.4,26.9,36.6,22.9,29.3,2010-01-02T06:31,2010-01-02T17:43,0.00,0.00,0.00,0.0,12.6,26.6,66,18.16,4.16
2010-01-03,2,30.9,22.2,26.6,33.2,23.7,28.2,2010-01-03T06:31,2010-01-03T17:44,0.00,0.00,0.00,0.0,15.4,34.9,51,15.45,4.25
2010-01-04,1,31.1,20.9,26.0,34.7,22.7,28.6,2010-01-04T06:31,2010-01-04T17:44,0.00,0.00,0.00,0.0,12.2,24.5,59,17.30,3.79
2010-01-05,1,32.4,22.1,27.3,35.0,24.4,29.9,2010-01-05T06:31,2010-01-05T17:45,0.00,0.00,0.00,0.0,8.7,25.2,124,16.22,3.83
2010-01-06,1,32.2,21.7,27.4,34.4,24.3,29.8,2010-01-06T06:32,2010-01-06T17:45,0.00,0.00,0.00,0.0,19.1,35.6,76,15.07,3.89
2010-01-07,51,31.0,22.3,26.4,33.4,23.1,27.8,2010-01-07T06:32,2010-01-07T17:46,0.20,0.20,0.00,1.0,18.1,35.3,59,15.03,4.15
2010-01-08,53,23.3,19.6,21.3,24.2,19.9,21.8,2010-01-08T06:32,2010-01-08T17:47,3.70,3.70,0.00,9.0,17.4,34.6,45,3.76,1.65
2010-01-09,1,29.4,17.9,23.2,32.5,17.9,24.5,2010-01-09T06:32,2010-01-09T17:47,0.00,0.00,0.00,0.0,12.0,26.6,32,18.12,3.77
2010-01-10,1,31.5,18.0,24.9,34.7,19.7,26.9,2010-01-10T06:33,2010-01-10T17:48,0.00,0.00,0.00,0.0,5.6,16.2,10,19.59,4.00
2010-01-11,1,32.3,19.4,25.8,34.0,20.3,26.9,2010-01-11T06:33,2010-01-11T17:48,0.00,0.00,0.00,0.0,16.3,35.3,51,19.35,4.39
